,Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,ASTPG,TOPG,AST/TO Ratio,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,3FGPG,3FGAPG,3FG%,Seed,Berth type,Overall rank,Placement
0,2012,Kentucky (SEC),True,40,38,2,95.0,38.9,32.2,6.8,27.4,56.2,48.8,22.225,59.475,37.4,13.275,11.325,1.17,5.475,17.225,31.8,16.95,23.45,72.3,77.4,60.6,16.8,5.625,14.875,37.8,1.0,At-large,1.0,1.0
1,2012,Murray St. (OVC),False,33,31,2,93.9,33.5,31.9,1.6,24.57575757575757,52.48484848484848,46.8,22.12121212121212,53.0,41.7,12.666666666666666,13.87878787878788,0.91,4.242424242424242,14.545454545454543,29.2,16.696969696969695,23.060606060606062,72.4,73.1,60.6,12.5,7.242424242424242,18.303030303030305,39.6,6.0,Automatic,23.0,32.0
2,2012,Syracuse (AAC),False,37,34,3,91.9,34.7,36.4,-1.7,27.18918918918919,58.270270270270274,46.7,21.486486486486488,55.78378378378378,38.5,15.27027027027027,10.513513513513514,1.45,6.351351351351352,20.18918918918919,31.5,13.37837837837838,19.16216216216216,69.8,74.1,61.0,13.1,6.297297297297297,18.054054054054053,34.9,1.0,At-large,2.0,8.0
3,2012,Missouri (Big 12),True,35,30,5,85.7,32.0,31.7,0.3,28.02857142857143,55.57142857142857,50.4,24.82857142857143,55.885714285714286,44.4,16.17142857142857,10.228571428571428,1.58,6.342857142857143,17.257142857142856,36.8,15.971428571428572,20.857142857142858,76.6,80.4,66.3,14.1,8.371428571428572,21.057142857142857,39.8,2.0,Automatic,8.0,64.0
4,2012,North Carolina (ACC),True,38,32,6,84.2,45.0,34.6,10.5,29.84210526315789,65.07894736842105,45.9,25.18421052631579,63.97368421052632,39.4,17.342105263157894,11.947368421052632,1.45,7.236842105263157,22.68421052631579,31.9,16.55263157894737,24.26315789473684,68.2,81.3,67.1,14.3,5.105263157894737,15.263157894736842,33.4,1.0,At-large,3.0,8.0
5,2012,Harvard (Ivy League),False,31,26,5,83.9,32.4,28.3,4.1,22.41935483870968,48.064516129032256,46.6,20.548387096774192,50.16129032258065,41.0,12.935483870967742,12.225806451612904,1.06,4.612903225806452,13.612903225806452,33.9,14.774193548387096,19.774193548387096,74.7,65.6,55.6,10.0,5.967741935483871,16.70967741935484,35.7,12.0,Automatic,46.0,64.0
6,2012,Creighton (MVC),False,35,29,6,82.9,36.0,30.5,5.5,27.857142857142858,55.285714285714285,50.4,25.8,58.54285714285714,44.1,17.6,12.028571428571428,1.46,6.514285714285714,18.02857142857143,36.1,15.285714285714286,21.057142857142857,72.6,79.2,69.7,9.5,8.2,19.34285714285714,42.4,8.0,Automatic,29.0,32.0
7,2012,Kansas (Big 12),True,39,32,7,82.1,37.7,32.2,5.5,26.23076923076923,55.61538461538461,47.2,21.17948717948718,55.7948717948718,38.0,15.051282051282053,13.0,1.16,6.051282051282051,17.794871794871796,34.0,15.307692307692308,22.128205128205128,69.2,73.5,61.7,11.7,5.6923076923076925,16.487179487179485,34.5,2.0,At-large,5.0,2.0
8,2012,Wichita St. (MVC),False,33,27,6,81.8,38.0,31.5,6.5,27.63636363636364,57.333333333333336,48.2,22.09090909090909,56.24242424242424,39.3,14.696969696969695,12.212121212121213,1.2,5.636363636363637,18.33333333333333,30.7,14.87878787878788,19.87878787878788,74.8,77.1,62.4,14.7,6.96969696969697,18.78787878787879,37.1,5.0,At-large,19.0,64.0
9,2012,Saint Mary's (CA) (WCC),False,33,27,6,81.8,36.7,29.5,7.2,25.96969696969697,54.87878787878788,47.3,23.363636363636363,54.60606060606061,42.8,15.757575757575758,11.606060606060606,1.36,5.333333333333333,14.848484848484848,35.9,15.393939393939394,21.12121212121212,72.9,74.8,62.7,12.1,7.424242424242424,21.60606060606061,34.4,7.0,Automatic,26.0,64.0
