Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Kentucky (SEC),40,38-2,"3,095",77.4,"2,423",60.6,16.8
2,Ohio St. (Big Ten),39,31-8,"2,913",74.7,"2,333",59.8,14.9
3,Wichita St. (MVC),33,27-6,"2,545",77.1,"2,060",62.4,14.7
4,North Carolina (ACC),38,32-6,"3,091",81.3,"2,549",67.1,14.3
5,Missouri (Big 12),35,30-5,"2,814",80.4,"2,321",66.3,14.1
6,New Mexico (Mountain West),35,28-7,"2,545",72.7,"2,076",59.3,13.4
7,Belmont (ASUN),35,27-8,"2,831",80.9,"2,363",67.5,13.4
8,Syracuse (AAC),37,34-3,"2,740",74.1,"2,257",61,13.1
9,Murray St. (OVC),33,31-2,"2,412",73.1,"2,001",60.6,12.5
10,Michigan St. (Big Ten),37,29-8,"2,651",71.6,"2,195",59.3,12.3
11,Saint Mary's (CA) (WCC),33,27-6,"2,467",74.8,"2,068",62.7,12.1
12,Kansas (Big 12),39,32-7,"2,865",73.5,"2,407",61.7,11.7
13,Memphis (C-USA),35,26-9,"2,614",74.7,"2,208",63.1,11.6
14,Saint Louis (Atlantic 10),34,26-8,"2,336",68.7,"1,960",57.6,11.1
15,Florida (SEC),37,26-11,"2,808",75.9,"2,404",65,10.9
16,Indiana (Big Ten),36,27-9,"2,782",77.3,"2,392",66.4,10.8
17,Wisconsin (Big Ten),36,26-10,"2,304",64,"1,915",53.2,10.8
18,Gonzaga (WCC),33,26-7,"2,436",73.8,"2,086",63.2,10.6
19,BYU (WCC),35,26-9,"2,727",77.9,"2,358",67.4,10.5
20,UNLV (Mountain West),35,26-9,"2,671",76.3,"2,307",65.9,10.4
21,South Dakota St. (Summit League),35,27-8,"2,689",76.8,"2,329",66.5,10.3
21,Lehigh (Patriot),35,27-8,"2,648",75.7,"2,288",65.4,10.3
23,Iona (MAAC),33,25-8,"2,736",82.9,"2,400",72.7,10.2
24,Davidson (SoCon),33,25-8,"2,571",77.9,"2,238",67.8,10.1
25,Harvard (Ivy League),31,26-5,"2,033",65.6,"1,724",55.6,10
26,Long Beach St. (Big West),34,25-9,"2,510",73.8,"2,175",64,9.9
27,New Mexico St. (WAC),36,26-10,"2,812",78.1,"2,459",68.3,9.8
28,Middle Tenn. (Sun Belt),34,27-7,"2,459",72.3,"2,128",62.6,9.7
29,Georgetown (AAC),33,24-9,"2,278",69,"1,959",59.4,9.7
30,Creighton (MVC),35,29-6,"2,772",79.2,"2,439",69.7,9.5
31,Marquette (AAC),35,27-8,"2,638",75.4,"2,308",65.9,9.4
32,UNC Asheville (Big South),34,24-10,"2,745",80.7,"2,426",71.4,9.4
33,Baylor (Big 12),38,30-8,"2,839",74.7,"2,483",65.3,9.4
34,California (Pac-12),34,24-10,"2,419",71.1,"2,104",61.9,9.3
35,UT Arlington (Southland),33,24-9,"2,537",76.9,"2,232",67.6,9.2
36,Drexel (CAA),36,29-7,"2,350",65.3,"2,020",56.1,9.2
37,Wagner (NEC),31,25-6,"2,275",73.4,"1,993",64.3,9.1
38,Georgia St. (CAA),34,22-12,"2,298",67.6,"2,003",58.9,8.7
39,Stanford (Pac-12),37,26-11,"2,657",71.8,"2,337",63.2,8.6
40,Duke (ACC),34,27-7,"2,628",77.3,"2,334",68.6,8.6
41,Virginia (ACC),32,22-10,"2,000",62.5,"1,735",54.2,8.3
42,Weber St. (Big Sky),32,25-7,"2,473",77.3,"2,210",69.1,8.2
43,VCU (CAA),36,29-7,"2,448",68,"2,154",59.8,8.2
44,Montana (Big Sky),32,25-7,"2,239",70,"1,985",62,7.9
45,Lamar University (Southland),35,23-12,"2,573",73.5,"2,296",65.6,7.9
46,Ohio (MAC),37,29-8,"2,597",70.2,"2,311",62.5,7.7
47,Vanderbilt (SEC),36,25-11,"2,615",72.6,"2,339",65,7.7
48,Denver (Sun Belt),31,22-9,"2,112",68.1,"1,876",60.5,7.6
49,N.C. Central (MEAC),32,17-15,"2,263",70.7,"2,020",63.1,7.6
50,Bucknell (Patriot),35,25-10,"2,410",68.9,"2,147",61.3,7.5
51,San Diego St. (Mountain West),34,26-8,"2,416",71.1,"2,166",63.7,7.4
52,Stony Brook (America East),32,22-10,"2,125",66.4,"1,892",59.1,7.3
53,Louisville (AAC),40,30-10,"2,727",68.2,"2,440",61,7.2
54,SFA (Southland),32,20-12,"1,970",61.6,"1,741",54.4,7.2
55,Kansas St. (Big 12),33,22-11,"2,343",71,"2,114",64.1,6.9
56,Florida St. (ACC),35,25-10,"2,443",69.8,"2,201",62.9,6.9
57,Cal St. Fullerton (Big West),31,21-10,"2,417",78,"2,205",71.1,6.8
58,La Salle (Atlantic 10),34,21-13,"2,478",72.9,"2,249",66.1,6.7
58,Oral Roberts (Summit League),34,27-7,"2,467",72.6,"2,238",65.8,6.7
60,Cincinnati (AAC),37,26-11,"2,522",68.2,"2,276",61.5,6.6
61,Coastal Carolina (Big South),31,19-12,"2,248",72.5,"2,042",65.9,6.6
62,Alabama (SEC),33,21-12,"2,135",64.7,"1,918",58.1,6.6
63,UC Santa Barbara (Big West),31,20-11,"2,262",73,"2,059",66.4,6.5
64,Wyoming (Mountain West),33,21-12,"2,068",62.7,"1,855",56.2,6.5
65,Akron (MAC),34,22-12,"2,456",72.2,"2,241",65.9,6.3
66,Southern Miss. (C-USA),34,25-9,"2,426",71.4,"2,212",65.1,6.3
67,Arizona (Pac-12),35,23-12,"2,416",69,"2,196",62.7,6.3
68,Oregon St. (Pac-12),36,21-15,"2,841",78.9,"2,617",72.7,6.2
69,Vermont (America East),36,24-12,"2,415",67.1,"2,193",60.9,6.2
70,UCLA (Pac-12),33,19-14,"2,263",68.6,"2,063",62.5,6.1
71,Iowa St. (Big 12),34,23-11,"2,490",73.2,"2,286",67.2,6
72,Texas (Big 12),34,20-14,"2,470",72.6,"2,270",66.8,5.9
