Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,ASTPG,TOPG,AST/TO Ratio,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,3FGPG,3FGAPG,3FG%
2014,Wichita St. (MVC),False,36,35,1,97.2,38.4,30.9,7.4,24.88888888888889,53.916666666666664,46.2,20.72222222222222,53.083333333333336,39.0,13.63888888888889,10.38888888888889,1.31,5.861111111111111,19.0,30.8,18.444444444444443,25.444444444444443,72.5,75.2,59.5,15.7,6.944444444444445,19.77777777777778,35.1
2014,Florida (SEC),True,39,36,3,92.3,35.5,30.5,5.0,24.23076923076923,52.717948717948715,46.0,20.666666666666668,51.38461538461539,40.2,13.051282051282051,11.051282051282051,1.18,5.3076923076923075,16.102564102564102,33.0,14.923076923076923,22.333333333333332,66.8,69.9,57.8,12.2,6.538461538461538,18.23076923076923,35.9
2014,SFA (Southland),False,35,32,3,91.4,33.9,29.1,4.8,26.34285714285714,56.91428571428571,46.3,21.314285714285713,46.94285714285714,45.4,16.4,11.228571428571428,1.46,4.228571428571429,12.314285714285715,34.3,16.257142857142856,22.857142857142858,71.1,76.0,63.4,12.6,7.085714285714285,20.514285714285716,34.5
2014,Arizona (Pac-12),True,38,33,5,86.8,38.1,31.1,7.1,26.210526315789473,55.86842105263158,46.9,20.42105263157895,53.71052631578947,38.0,15.105263157894736,10.18421052631579,1.48,4.552631578947368,14.236842105263158,32.0,15.078947368421053,22.894736842105264,65.9,72.9,58.6,14.3,5.368421052631579,14.763157894736842,36.4
2014,San Diego St. (Mountain West),False,36,31,5,86.1,37.9,32.8,5.1,24.25,55.80555555555556,43.5,20.38888888888889,52.888888888888886,38.6,9.88888888888889,9.86111111111111,1.0,4.833333333333333,16.77777777777778,28.8,16.61111111111111,25.055555555555557,66.3,70.3,57.0,13.3,5.166666666666667,14.416666666666666,35.8
2014,Villanova (Big East),False,34,29,5,85.3,37.1,33.4,3.7,25.58823529411765,56.088235294117645,45.6,22.441176470588236,55.470588235294116,40.5,15.382352941176471,11.941176470588236,1.29,6.470588235294118,18.323529411764707,35.3,17.852941176470587,24.941176470588236,71.6,78.0,66.5,11.5,8.941176470588236,25.147058823529413,35.6
2014,Harvard (Ivy League),False,32,27,5,84.4,34.1,31.4,2.8,24.59375,52.90625,46.5,21.25,52.03125,40.8,14.09375,11.40625,1.24,5.125,15.96875,32.1,18.28125,25.28125,72.3,73.2,61.0,12.2,5.75,14.96875,38.4
2014,Louisville (AAC),False,37,31,6,83.8,37.7,34.7,3.0,28.405405405405407,60.32432432432432,47.1,21.243243243243242,53.5945945945946,39.6,15.35135135135135,10.567567567567568,1.45,4.594594594594595,16.054054054054053,28.6,16.43243243243243,24.864864864864863,66.1,81.0,61.1,19.9,7.783783783783784,21.16216216216216,36.8
2014,Syracuse (ACC),True,34,28,6,82.4,35.3,31.5,3.8,24.08823529411765,55.088235294117645,43.7,20.147058823529413,49.088235294117645,41.0,11.823529411764707,9.0,1.31,6.852941176470588,19.88235294117647,34.5,14.882352941176471,21.029411764705884,70.8,68.0,59.2,8.8,,,
2014,N.C. Central (MEAC),False,34,28,6,82.4,35.2,31.8,3.4,24.91176470588235,53.88235294117647,46.2,19.352941176470587,50.76470588235294,38.1,14.647058823529411,11.441176470588236,1.28,5.470588235294118,18.176470588235293,30.1,18.676470588235293,25.647058823529413,72.8,73.9,59.5,14.4,5.411764705882353,16.029411764705884,33.8
2014,Virginia (ACC),True,37,30,7,81.1,35.5,29.3,6.1,23.10810810810811,50.91891891891892,45.4,19.64864864864865,50.67567567567568,38.8,13.08108108108108,10.0,1.31,5.486486486486487,17.0,32.3,14.405405405405405,21.405405405405407,67.3,66.2,55.7,10.5,5.5675675675675675,15.108108108108109,36.9
2014,Gonzaga (WCC),False,36,29,7,80.6,35.9,32.7,3.1,27.0,54.52777777777778,49.5,22.38888888888889,56.30555555555556,39.8,14.583333333333334,11.63888888888889,1.25,5.638888888888889,17.75,31.8,15.61111111111111,22.02777777777778,70.9,76.7,65.9,10.8,7.083333333333333,17.86111111111111,39.7
2014,Southern Miss. (C-USA),False,36,29,7,80.6,35.7,29.2,6.5,24.25,52.333333333333336,46.3,20.75,48.75,42.6,14.083333333333334,13.36111111111111,1.05,7.305555555555555,21.5,34.0,18.02777777777778,26.555555555555557,67.9,72.1,63.3,8.8,5.583333333333333,16.0,34.9
2014,UConn (AAC),False,40,32,8,80.0,34.9,34.5,0.5,24.275,54.05,44.9,21.95,56.025,39.2,12.2,11.425,1.07,6.025,18.275,33.0,16.1,20.725,77.7,71.8,63.2,8.6,7.175,18.525,38.7
2014,Cincinnati (AAC),False,34,27,7,79.4,36.0,31.7,4.3,23.676470588235293,55.6764705882353,42.5,20.294117647058822,51.3235294117647,39.5,12.5,11.088235294117647,1.13,5.352941176470588,16.705882352941178,32.0,15.264705882352942,21.558823529411764,70.8,68.4,58.4,10.0,5.764705882352941,17.205882352941178,33.5
2014,Toledo (MAC),False,34,27,7,79.4,35.8,33.4,2.4,27.323529411764707,58.6764705882353,46.6,26.38235294117647,57.1764705882353,46.1,14.970588235294118,10.176470588235293,1.47,6.823529411764706,19.38235294117647,35.2,18.91176470588235,26.08823529411765,72.5,79.2,73.2,6.0,5.676470588235294,16.470588235294116,34.5
2014,Saint Louis (Atlantic 10),False,34,27,7,79.4,36.2,34.8,1.4,24.38235294117647,54.970588235294116,44.4,22.205882352941178,55.14705882352941,40.3,14.176470588235293,12.676470588235293,1.12,4.088235294117647,14.147058823529411,28.9,15.470588235294118,22.205882352941178,69.7,69.8,61.9,7.9,5.588235294117647,17.676470588235293,31.6
2014,New Mexico (Mountain West),False,34,27,7,79.4,38.1,32.8,5.3,24.91176470588235,54.44117647058823,45.8,22.823529411764707,58.6764705882353,38.9,15.352941176470589,10.588235294117647,1.45,7.147058823529412,20.558823529411764,34.8,18.38235294117647,25.41176470588235,72.3,74.0,66.1,7.9,5.794117647058823,17.441176470588236,33.2
2014,Wisconsin (Big Ten),True,38,30,8,78.9,33.3,31.9,1.4,24.394736842105264,53.10526315789474,45.9,24.07894736842105,56.18421052631579,42.9,12.31578947368421,8.078947368421053,1.52,4.842105263157895,14.210526315789474,34.1,16.894736842105264,22.657894736842106,74.6,73.5,64.0,9.5,7.815789473684211,20.789473684210527,37.6
2014,North Dakota St. (Summit League),False,33,26,7,78.8,32.8,28.7,4.1,26.90909090909091,53.303030303030305,50.5,21.87878787878788,51.81818181818182,42.2,11.575757575757576,9.848484848484848,1.18,6.7272727272727275,18.181818181818183,37.0,16.363636363636363,21.78787878787879,75.1,75.5,65.6,9.9,5.333333333333333,14.636363636363637,36.4
2014,Louisiana Tech (C-USA),False,37,29,8,78.4,39.1,36.5,2.6,27.945945945945947,61.729729729729726,45.3,23.54054054054054,56.729729729729726,41.5,15.72972972972973,11.45945945945946,1.37,4.864864864864865,15.594594594594595,31.2,17.405405405405407,25.62162162162162,67.9,81.0,66.5,14.5,7.72972972972973,23.45945945945946,32.9
2014,Iowa St. (Big 12),True,36,28,8,77.8,38.5,36.9,1.6,29.5,62.19444444444444,47.4,26.5,63.111111111111114,42.0,18.416666666666668,10.555555555555555,1.74,7.194444444444445,21.11111111111111,34.1,15.666666666666666,22.61111111111111,69.3,83.0,74.4,8.6,8.36111111111111,23.333333333333332,35.8
2014,Green Bay (Horizon),False,31,24,7,77.4,36.7,33.6,3.2,26.225806451612904,55.32258064516129,47.4,22.612903225806452,57.41935483870968,39.4,15.258064516129032,12.67741935483871,1.2,6.064516129032258,19.032258064516128,31.9,17.032258064516128,24.225806451612904,70.3,74.3,64.5,9.8,,,
2014,Creighton (Big East),False,35,27,8,77.1,34.1,31.8,2.3,27.34285714285714,55.05714285714286,49.7,24.114285714285714,56.65714285714286,42.6,17.542857142857144,9.771428571428572,1.8,6.685714285714286,19.571428571428573,34.2,13.885714285714286,18.685714285714287,74.3,78.7,67.9,10.9,10.17142857142857,24.542857142857144,41.4
2014,Michigan St. (Big Ten),True,38,29,9,76.3,36.8,31.8,5.1,26.94736842105263,56.81578947368421,47.4,21.5,54.1578947368421,39.7,16.763157894736842,11.578947368421053,1.45,6.631578947368421,20.0,33.2,13.552631578947368,19.157894736842106,70.7,75.5,65.6,10.0,8.078947368421053,20.605263157894736,39.2
