Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,Clemson (ACC),36,23-13,603,172,28.5
2,Louisville (AAC),37,31-6,594,170,28.6
3,Rhode Island (Atlantic 10),32,14-18,499,143,28.7
4,Texas A&M (SEC),34,18-16,664,191,28.8
5,San Diego St. (Mountain West),36,31-5,604,174,28.8
6,Saint Louis (Atlantic 10),34,27-7,481,139,28.9
7,Ohio St. (Big Ten),35,25-10,591,173,29.3
8,Kansas St. (Big 12),33,20-13,553,162,29.3
9,UTEP (C-USA),34,23-11,681,201,29.5
10,Southern U. (SWAC),32,19-13,539,160,29.7
11,Delaware St. (MEAC),30,21-Sep,559,167,29.9
12,Indiana (Big Ten),32,17-15,609,182,29.9
13,Brown (Ivy League),29,15-14,544,163,30
14,Wagner (NEC),31,19-12,574,172,30
15,Richmond (Atlantic 10),33,19-14,555,167,30.1
16,N.C. Central (MEAC),34,28-6,618,186,30.1
17,UNLV (Mountain West),33,20-13,566,171,30.2
18,Mercer (ASUN),36,27-9,779,236,30.3
19,VCU (Atlantic 10),35,26-9,561,170,30.3
20,NIU (MAC),32,15-17,632,192,30.4
21,Vanderbilt (SEC),31,15-16,595,181,30.4
22,Duke (ACC),35,26-9,449,138,30.7
23,Utah (Pac-12),33,21-12,582,179,30.8
24,Memphis (AAC),34,24-10,585,180,30.8
25,Alabama (SEC),32,13-19,575,177,30.8
26,Butler (Big East),31,14-17,529,163,30.8
27,Drexel (CAA),30,16-14,490,151,30.8
28,Massachusetts (Atlantic 10),33,24-9,535,165,30.8
29,Wichita St. (MVC),36,35-1,684,211,30.8
30,Western Mich. (MAC),33,23-10,728,225,30.9
31,Savannah St. (MEAC),32,13-19,472,146,30.9
32,Buffalo (MAC),29,19-10,526,163,31
33,Fresno St. (Mountain West),39,21-18,728,226,31
34,Milwaukee (Horizon),35,21-14,657,204,31.1
35,Louisiana Tech (C-USA),37,29-8,577,180,31.2
36,George Washington (Atlantic 10),33,24-9,685,214,31.2
37,CSU Bakersfield (WAC),32,13-19,576,180,31.3
38,Utah St. (Mountain West),32,18-14,601,188,31.3
39,Eastern Mich. (MAC),37,22-15,796,249,31.3
40,UAB (C-USA),31,18-13,638,200,31.3
41,Wake Forest (ACC),33,17-16,596,187,31.4
42,Alabama St. (SWAC),32,19-13,529,166,31.4
43,Towson (CAA),36,25-11,671,211,31.4
44,Nebraska (Big Ten),32,19-13,590,186,31.5
45,Northwestern (Big Ten),33,14-19,542,171,31.5
46,Marshall (C-USA),33,22-Nov,624,197,31.6
47,Wyoming (Mountain West),33,18-15,619,196,31.7
48,Ohio (MAC),37,25-12,644,204,31.7
49,Iowa (Big Ten),33,20-13,722,229,31.7
50,North Carolina (ACC),34,24-10,665,211,31.7
51,Gonzaga (WCC),36,29-7,639,203,31.8
52,Michigan (Big Ten),37,28-9,632,201,31.8
