Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
1,Quinnipiac (MAAC),32,20-12,"1,454",45.4,"1,077",33.7,11.8
2,Kentucky (SEC),40,29-11,"1,608",40.2,"1,231",30.8,9.4
3,Tennessee (SEC),37,24-13,"1,424",38.5,"1,108",29.9,8.5
4,UAB (C-USA),31,18-13,"1,381",44.5,"1,129",36.4,8.1
5,Morehead St. (OVC),34,20-14,"1,309",38.5,"1,038",30.5,8
6,Indiana (Big Ten),32,17-15,"1,241",38.8,997,31.2,7.6
7,Kansas (Big 12),35,25-10,"1,336",38.2,"1,073",30.7,7.5
8,Wichita St. (MVC),36,35-1,"1,382",38.4,"1,114",30.9,7.4
9,Arizona (Pac-12),38,33-5,"1,449",38.1,"1,181",31.1,7.1
10,Texas (Big 12),35,24-11,"1,449",41.4,"1,203",34.4,7
11,Iowa (Big Ten),33,20-13,"1,331",40.3,"1,101",33.4,7
12,Baylor (Big 12),38,26-12,"1,456",38.3,"1,200",31.6,6.7
13,Southern Miss. (C-USA),36,29-7,"1,286",35.7,"1,051",29.2,6.5
14,Liberty (Big South),32,21-Nov,"1,186",37.1,980,30.6,6.4
15,Virginia (ACC),37,30-7,"1,312",35.5,"1,085",29.3,6.1
16,Colorado (Pac-12),35,23-12,"1,305",37.3,"1,098",31.4,5.9
17,Pittsburgh (ACC),36,26-10,"1,291",35.9,"1,079",30,5.9
18,Utah St. (Mountain West),32,18-14,"1,166",36.4,979,30.6,5.8
19,Stony Brook (America East),34,23-11,"1,251",36.8,"1,059",31.1,5.6
20,Col. of Charleston (CAA),32,14-18,"1,214",37.9,"1,038",32.4,5.5
21,South Dakota St. (Summit League),32,19-13,"1,131",35.3,960,30,5.3
22,New Mexico (Mountain West),34,27-7,"1,296",38.1,"1,116",32.8,5.3
23,Seattle U (WAC),30,13-17,"1,151",38.4,994,33.1,5.2
24,Towson (CAA),36,25-11,"1,395",38.8,"1,207",33.5,5.2
25,BYU (WCC),35,23-12,"1,432",40.9,"1,253",35.8,5.1
26,San Diego St. (Mountain West),36,31-5,"1,364",37.9,"1,180",32.8,5.1
27,Michigan St. (Big Ten),38,29-9,"1,400",36.8,"1,208",31.8,5.1
28,Yale (Ivy League),33,19-14,"1,179",35.7,"1,013",30.7,5
29,North Carolina (ACC),34,24-10,"1,350",39.7,"1,179",34.7,5
30,Florida (SEC),39,36-3,"1,385",35.5,"1,191",30.5,5
31,New Mexico St. (WAC),36,26-10,"1,346",37.4,"1,170",32.5,4.9
32,Missouri (SEC),35,23-12,"1,293",36.9,"1,124",32.1,4.8
33,SFA (Southland),35,32-3,"1,186",33.9,"1,018",29.1,4.8
34,Middle Tenn. (C-USA),33,24-9,"1,211",36.7,"1,053",31.9,4.8
35,Colorado St. (Mountain West),32,16-16,"1,202",37.6,"1,049",32.8,4.8
36,SMU (AAC),37,27-10,"1,333",36,"1,157",31.3,4.8
37,Coastal Carolina (Big South),34,21-13,"1,336",39.3,"1,175",34.6,4.7
38,Georgia (SEC),34,20-14,"1,259",37,"1,101",32.4,4.6
39,Vermont (America East),33,22-11,"1,131",34.3,979,29.7,4.6
40,Hawaii (Big West),31,20-11,"1,114",35.9,978,31.5,4.4
41,Cincinnati (AAC),34,27-7,"1,224",36,"1,078",31.7,4.3
41,Boise St. (Mountain West),34,21-13,"1,171",34.4,"1,025",30.1,4.3
43,Northern Ill. (MAC),32,15-17,"1,199",37.5,"1,062",33.2,4.3
44,Xavier (Big East),34,21-13,"1,213",35.7,"1,069",31.4,4.2
45,Valparaiso (Horizon),34,18-16,"1,220",35.9,"1,078",31.7,4.2
46,USC Upstate (ASUN),34,19-15,"1,296",38.1,"1,155",34,4.1
47,Mercer (ASUN),36,27-9,"1,338",37.2,"1,190",33.1,4.1
48,North Dakota St. (Summit League),33,26-7,"1,081",32.8,947,28.7,4.1
49,UC Irvine (Big West),35,23-12,"1,350",38.6,"1,208",34.5,4.1
49,Saint Mary's (CA) (WCC),35,23-12,"1,188",33.9,"1,046",29.9,4.1
51,Southeast Mo. St. (OVC),32,18-14,"1,191",37.2,"1,063",33.2,4
52,Southern U. (SWAC),32,19-13,"1,242",38.8,"1,120",35,3.8
53,Bucknell (Patriot),30,16-14,"1,067",35.6,953,31.8,3.8
54,Syracuse (ACC),34,28-6,"1,200",35.3,"1,072",31.5,3.8
55,Ball St. (MAC),30,25-May,"1,108",36.9,996,33.2,3.7
56,Villanova (Big East),34,29-5,"1,263",37.1,"1,137",33.4,3.7
57,Purdue Fort Wayne (Summit League),36,25-11,"1,215",33.8,"1,083",30.1,3.7
57,Utah (Pac-12),33,21-12,"1,162",35.2,"1,041",31.5,3.7
59,Dayton (Atlantic 10),37,26-11,"1,289",34.8,"1,158",31.3,3.5
60,Purdue (Big Ten),32,15-17,"1,256",39.3,"1,143",35.7,3.5
61,George Washington (Atlantic 10),33,24-9,"1,229",37.2,"1,113",33.7,3.5
62,N.C. Central (MEAC),34,28-6,"1,197",35.2,"1,080",31.8,3.4
63,Western Ky. (Sun Belt),32,20-12,"1,171",36.6,"1,061",33.2,3.4
64,Louisiana (Sun Belt),35,23-12,"1,335",38.1,"1,215",34.7,3.4
65,UNLV (Mountain West),33,20-13,"1,314",39.8,"1,201",36.4,3.4
66,Norfolk St. (MEAC),34,19-15,"1,195",35.1,"1,081",31.8,3.4
67,Albany (NY) (America East),34,19-15,"1,175",34.6,"1,062",31.2,3.3
68,Charlotte (C-USA),31,17-14,"1,187",38.3,"1,084",35,3.3
69,Providence (Big East),35,23-12,"1,278",36.5,"1,162",33.2,3.3
70,Maryland (ACC),32,17-15,"1,200",37.5,"1,094",34.2,3.3
71,Weber St. (Big Sky),31,19-12,"1,065",34.4,963,31.1,3.3
72,Marquette (Big East),32,17-15,"1,167",36.5,"1,064",33.3,3.2
73,UCF (AAC),31,13-18,"1,184",38.2,"1,085",35,3.2
74,St. Francis Brooklyn (NEC),32,18-14,"1,189",37.2,"1,087",34,3.2
74,Northern Ariz. (Big Sky),32,15-17,"1,055",33,953,29.8,3.2
76,Green Bay (Horizon),31,24-7,"1,139",36.7,"1,041",33.6,3.2
77,Gonzaga (WCC),36,29-7,"1,291",35.9,"1,178",32.7,3.1
78,Idaho St. (Big Sky),29,18-Nov,"1,012",34.9,922,31.8,3.1
79,Texas Southern (SWAC),34,19-15,"1,246",36.6,"1,141",33.6,3.1
79,South Carolina (SEC),34,14-20,"1,202",35.4,"1,097",32.3,3.1
81,Tennessee Tech (OVC),33,17-16,"1,169",35.4,"1,068",32.4,3.1
82,Buffalo (MAC),29,19-10,"1,074",37,986,34,3
83,Texas Tech (Big 12),32,14-18,"1,054",32.9,957,29.9,3
84,Louisville (AAC),37,31-6,"1,396",37.7,"1,285",34.7,3
84,UNC Asheville (Big South),32,17-15,"1,202",37.6,"1,106",34.6,3
86,Brown (Ivy League),29,15-14,"1,154",39.8,"1,068",36.8,3
87,North Florida (ASUN),32,16-16,"1,183",37,"1,091",34.1,2.9
88,Massachusetts (Atlantic 10),33,24-9,"1,267",38.4,"1,173",35.5,2.8
88,Oral Roberts (Southland),33,17-16,"1,168",35.4,"1,074",32.5,2.8
90,Pacific (WCC),34,18-16,"1,177",34.6,"1,081",31.8,2.8
90,Columbia (Ivy League),34,21-13,"1,111",32.7,"1,015",29.9,2.8
92,FGCU (ASUN),35,22-13,"1,282",36.6,"1,184",33.8,2.8
93,Saint Joseph's (Atlantic 10),34,24-10,"1,218",35.8,"1,123",33,2.8
94,LSU (SEC),34,20-14,"1,334",39.2,"1,240",36.5,2.8
95,San Francisco (WCC),33,21-12,"1,176",35.6,"1,085",32.9,2.8
96,Harvard (Ivy League),32,27-5,"1,092",34.1,"1,004",31.4,2.8
97,Georgia Tech (ACC),33,16-17,"1,187",36,"1,097",33.2,2.7
98,Siena (MAAC),38,20-18,"1,429",37.6,"1,326",34.9,2.7
99,Charleston So. (Big South),31,13-18,"1,160",37.4,"1,076",34.7,2.7
100,St. Bonaventure (Atlantic 10),33,18-15,"1,164",35.3,"1,075",32.6,2.7
101,Hofstra (CAA),33,23-Oct,"1,195",36.2,"1,108",33.6,2.6
102,Louisiana Tech (C-USA),37,29-8,"1,448",39.1,"1,351",36.5,2.6
103,CSUN (Big West),35,17-18,"1,245",35.6,"1,154",33,2.6
104,Virginia Tech (ACC),31,22-Sep,"1,138",36.7,"1,059",34.2,2.5
105,Portland (WCC),31,15-16,"1,116",36,"1,038",33.5,2.5
106,Miami (FL) (ACC),33,17-16,"1,140",34.5,"1,058",32.1,2.5
107,Wagner (NEC),31,19-12,"1,221",39.4,"1,146",37,2.4
108,New Orleans (Southland),26,15-Nov,968,37.2,906,34.8,2.4
109,Toledo (MAC),34,27-7,"1,218",35.8,"1,137",33.4,2.4
110,UC Santa Barbara (Big West),30,21-9,"1,059",35.3,988,32.9,2.4
111,Creighton (Big East),35,27-8,"1,192",34.1,"1,112",31.8,2.3
112,Memphis (AAC),34,24-10,"1,268",37.3,"1,192",35.1,2.2
113,A&M-Corpus Christi (Southland),34,18-16,"1,135",33.4,"1,060",31.2,2.2
114,Rhode Island (Atlantic 10),32,14-18,"1,152",36,"1,082",33.8,2.2
114,CSU Bakersfield (WAC),32,13-19,"1,116",34.9,"1,046",32.7,2.2
114,Northern Colo. (Big Sky),32,18-14,"1,025",32,955,29.8,2.2
117,Murray St. (OVC),34,23-11,"1,233",36.3,"1,160",34.1,2.1
118,Dartmouth (Ivy League),28,16-Dec,926,33.1,869,31,2
119,Old Dominion (C-USA),36,18-18,"1,281",35.6,"1,208",33.6,2
120,Duke (ACC),35,26-9,"1,207",34.5,"1,137",32.5,2
121,Cleveland St. (Horizon),33,21-12,"1,119",33.9,"1,055",32,1.9
121,Southern Ill. (MVC),33,14-19,"1,104",33.5,"1,040",31.5,1.9
