,Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio,Seed,Record,Berth type,Overall rank,Placement
0,2015,Kentucky (SEC),True,39,38,1,97.4,38.0,31.2,6.8,25.7948717948718,55.12820512820513,46.8,19.23076923076923,54.256410256410255,35.4,5.205128205128205,14.923076923076923,34.9,4.487179487179487,16.564102564102566,27.1,17.564102564102566,24.17948717948718,72.6,74.4,54.3,20.1,14.17948717948718,10.461538461538462,1.36,1.0,34–0,Auto,1.0,1.0
1,2015,Gonzaga (WCC),False,38,35,3,92.1,37.9,30.4,7.4,28.526315789473685,54.81578947368421,52.0,22.13157894736842,56.68421052631579,39.0,6.947368421052632,17.36842105263158,40.0,5.7105263157894735,17.289473684210527,33.0,14.657894736842104,21.210526315789476,69.1,78.7,61.7,17.0,16.31578947368421,10.447368421052632,1.56,2.0,32–2,Auto,7.0,8.0
2,2015,Villanova (Big East),False,36,33,3,91.7,34.3,32.3,2.0,25.444444444444443,54.19444444444444,47.0,22.13888888888889,54.55555555555556,40.6,9.055555555555555,23.25,38.9,5.361111111111111,17.555555555555557,30.5,16.555555555555557,22.63888888888889,73.1,76.5,60.9,15.6,15.833333333333334,10.61111111111111,1.49,1.0,32–2,Auto,2.0,32.0
3,2015,Wisconsin (Big Ten),True,40,36,4,90.0,33.5,27.7,5.8,25.35,52.875,47.9,22.4,52.3,42.8,7.2,19.75,36.5,5.05,13.45,37.5,14.6,19.125,76.3,72.5,58.2,14.3,12.6,7.4,1.7,1.0,31–3,Auto,4.0,2.0
4,2015,Duke (ACC),True,39,35,4,89.7,36.8,31.5,5.4,28.17948717948718,56.17948717948718,50.2,24.666666666666668,58.48717948717949,42.2,7.256410256410256,18.76923076923077,38.7,5.102564102564102,16.23076923076923,31.4,15.64102564102564,22.384615384615383,69.9,79.3,64.2,15.1,15.076923076923077,10.794871794871796,1.4,1.0,29–4,At-large,3.0,4.0
5,2015,Arizona (Pac-12),True,38,34,4,89.5,36.8,28.0,8.8,26.55263157894737,54.42105263157895,48.8,20.44736842105263,51.3421052631579,39.8,5.078947368421052,14.105263157894736,36.0,5.421052631578948,16.18421052631579,33.5,18.42105263157895,25.63157894736842,71.9,76.6,59.7,16.9,13.894736842105264,11.026315789473683,1.26,2.0,31–3,Auto,6.0,8.0
6,2015,UNI (MVC),False,35,31,4,88.6,30.6,28.3,2.3,22.17142857142857,46.22857142857143,48.0,19.542857142857144,49.51428571428571,39.5,7.3428571428571425,18.428571428571427,39.8,6.0285714285714285,18.8,32.1,13.485714285714286,18.4,73.3,65.2,54.6,10.5,11.8,10.371428571428572,1.14,5.0,30–3,Auto,20.0,32.0
7,2015,Virginia (ACC),True,34,30,4,88.2,36.2,28.5,7.7,23.647058823529413,51.70588235294117,45.7,18.294117647058822,49.91176470588236,36.7,5.0,14.205882352941176,35.2,5.617647058823529,18.264705882352946,30.8,13.117647058823527,18.058823529411764,72.6,65.4,51.4,14.0,12.647058823529411,9.294117647058824,1.36,2.0,29–3,At-large,5.0,32.0
8,2015,Wichita St. (MVC),False,35,30,5,85.7,35.6,30.8,4.8,24.571428571428573,55.22857142857143,44.5,19.742857142857144,49.17142857142857,40.2,6.828571428571428,19.142857142857142,35.7,5.342857142857143,15.17142857142857,35.2,14.314285714285717,20.428571428571427,70.1,70.3,57.4,12.9,13.6,9.342857142857143,1.46,7.0,28–4,At-large,26.0,16.0
9,2015,SFA (Southland),False,34,29,5,85.3,34.6,29.2,5.4,26.794117647058822,55.0,48.7,21.47058823529412,48.97058823529412,43.8,7.705882352941177,20.352941176470587,37.9,4.5588235294117645,13.647058823529411,33.4,17.294117647058822,23.5,73.6,78.6,64.3,14.3,17.529411764705884,14.029411764705882,1.25,12.0,29–4,Auto,50.0,64.0
