Rank,Team,GM,W-L,FGM,FGA,FG%
1,Saint Mary's (CA) (WCC),35,29-6,951,"1,887",50.4
2,Iowa St. (Big 12),35,23-12,"1,087","2,159",50.3
3,Indiana (Big Ten),35,27-8,"1,021","2,034",50.2
4,SMU (AAC),30,25-5,858,"1,727",49.7
5,Kansas (Big 12),38,33-5,"1,092","2,207",49.5
6,Belmont (OVC),32,20-12,914,"1,848",49.5
7,Virginia (ACC),37,29-8,964,"1,963",49.1
8,Eastern Ky. (OVC),31,15-16,864,"1,760",49.1
9,Evansville (MVC),34,25-9,879,"1,795",49
10,Utah (Pac-12),36,27-9,977,"2,000",48.9
11,Gonzaga (WCC),36,28-8,"1,011","2,082",48.6
12,Maryland (Big Ten),36,27-9,943,"1,942",48.6
13,Michigan St. (Big Ten),35,29-6,"1,009","2,078",48.6
14,North Florida (ASUN),34,22-12,"1,000","2,065",48.4
15,Villanova (Big East),40,35-5,"1,086","2,247",48.3
16,Eastern Wash. (Big Sky),34,18-16,961,"1,989",48.3
17,North Carolina (ACC),40,33-7,"1,235","2,561",48.2
18,Richmond (Atlantic 10),32,16-16,890,"1,848",48.2
19,Weber St. (Big Sky),35,26-9,909,"1,888",48.1
20,Vermont (America East),37,23-14,986,"2,051",48.1
21,William & Mary (CAA),31,20-11,843,"1,755",48
22,Arizona (Pac-12),34,25-9,946,"1,970",48
23,FGCU (ASUN),35,21-14,"1,008","2,106",47.9
24,Miami (FL) (ACC),35,27-8,907,"1,895",47.9
25,Kentucky (SEC),36,27-9,"1,028","2,149",47.8
26,UAB (C-USA),33,26-7,942,"1,971",47.8
27,SFA (Southland),34,28-6,972,"2,034",47.8
28,High Point (Big South),32,21-11,884,"1,852",47.7
29,Portland St. (Big Sky),31,13-18,908,"1,904",47.7
30,Winthrop (Big South),32,23-9,890,"1,869",47.6
31,Notre Dame (ACC),36,24-12,972,"2,042",47.6
32,Denver (Summit League),31,16-15,689,"1,449",47.6
33,Houston Baptist (Southland),34,17-17,899,"1,904",47.2
34,Omaha (Summit League),32,18-14,953,"2,023",47.1
35,Creighton (Big East),35,20-15,979,"2,081",47
36,Ohio (MAC),35,23-12,937,"1,993",47
37,Purdue (Big Ten),35,26-9,960,"2,042",47
38,Western Ky. (C-USA),34,18-16,925,"1,970",47
39,Yale (Ivy League),30,23-7,795,"1,694",46.9
