Seed,Team,Conference,Record,Berth type,Overall rank,Placement
1,Kansas,Big 12,30–4,Auto,1,8
2,Villanova,Big East,29–5,At-large,7,1
3,Miami,ACC,25–7,At-large,10,16
4,California,Pac-12,23–10,At-large,14,64
5,Maryland,Big Ten,25–8,At-large,19,16
6,Arizona,Pac-12,25–8,At-large,23,64
7,Iowa,Big Ten,21–10,At-large,27,32
8,Colorado,Pac-12,22–11,At-large,30,64
9,UConn,American,24–10,Auto,36,32
10,Temple,American,21–11,At-large,38,64
11,Vanderbilt,SEC,19–13,At-large,41,68
11,Wichita State,Missouri Valley,24–8,At-large,43,32
12,South Dakota State,Summit League,26–7,Auto,50,64
13,Hawaii,Big West,27–5,Auto,52,32
14,Buffalo,MAC,20–14,Auto,56,64
15,UNC Asheville,Big South,22–11,Auto,61,64
16,Austin Peay,Ohio Valley,18–17,Auto,63,64
1,Oregon,Pac-12,28–6,Auto,4,8
2,Oklahoma,Big 12,25–7,At-large,6,4
3,Texas A&M,SEC,26–8,At-large,12,16
4,Duke,ACC,23–10,At-large,13,16
5,Baylor,Big 12,22–11,At-large,20,64
6,Texas,Big 12,20–12,At-large,21,64
7,Oregon State,Pac-12,19–12,At-large,28,64
8,Saint Joseph's,Atlantic 10,27–7,Auto,32,32
9,Cincinnati,American,22–10,At-large,35,64
10,VCU,Atlantic 10,24–10,At-large,40,32
11,Northern Iowa,Missouri Valley,22–12,Auto,46,32
12,Yale,Ivy League,22–6,Auto,49,32
13,UNC Wilmington,CAA,25–7,Auto,51,64
14,Green Bay,Horizon,23–12,Auto,55,64
15,Cal State Bakersfield,WAC,24–8,Auto,60,64
16,Holy Cross,Patriot,14–19,Auto,68,64
16,Southern,SWAC,22–12,Auto,67,68
1,North Carolina,ACC,28–6,Auto,2,2
2,Xavier,Big East,26-8,At-large,8,32
3,West Virginia,Big 12,26–8,At-large,9,64
4,Kentucky,SEC,26–8,Auto,15,32
5,Indiana,Big Ten,25–7,At-large,17,16
6,Notre Dame,ACC,21–11,At-large,22,8
7,Wisconsin,Big Ten,20–12,At-large,25,16
8,USC,Pac-12,21–12,At-large,31,64
9,Providence,Big East,23–10,At-large,33,32
10,Pittsburgh,ACC,21–11,At-large,37,64
11,Michigan,Big Ten,22–12,At-large,42,64
11,Tulsa,American,20–11,At-large,45,68
12,Chattanooga,Southern,29–5,Auto,47,64
13,Stony Brook,America East,26–6,Auto,53,64
14,Stephen F. Austin,Southland,27–5,Auto,58,32
15,Weber State,Big Sky,26–8,Auto,62,64
16,Florida Gulf Coast,Atlantic Sun,20–13,Auto,65,64
16,Fairleigh Dickinson,NEC,18–14,Auto,66,68
1,Virginia,ACC,26–7,At-large,3,8
2,Michigan State,Big Ten,29–5,Auto,5,64
3,Utah,Pac-12,26–8,At-large,11,32
4,Iowa State,Big 12,21–11,At-large,16,16
5,Purdue,Big Ten,26–8,At-large,18,64
6,Seton Hall,Big East,25–8,Auto,24,64
7,Dayton,Atlantic 10,25–7,At-large,26,64
8,Texas Tech,Big 12,19–12,At-large,29,64
9,Butler,Big East,21–10,At-large,34,32
10,Syracuse,ACC,19–13,At-large,39,4
11,Gonzaga,WCC,26–7,Auto,44,16
12,Little Rock,Sun Belt,29–4,Auto,48,32
13,Iona,MAAC,22–10,Auto,54,64
14,Fresno State,Mountain West,25–9,Auto,57,64
15,Middle Tennessee,C-USA,24–9,Auto,59,32
16,Hampton,MEAC,21–10,Auto,64,64
