Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio
2017,Gonzaga (WCC),False,39,37,2,94.9,40.7,33.6,7.1,29.46153846153846,58.48717948717949,50.4,22.435897435897434,61.51282051282051,36.5,7.333333333333333,19.205128205128204,38.2,5.717948717948718,19.743589743589745,29.0,16.358974358974358,22.82051282051282,71.7,82.6,61.5,21.1,15.256410256410257,11.487179487179487,1.33
2017,Villanova (Big East),False,36,32,4,88.9,33.5,29.8,3.7,26.805555555555557,54.111111111111114,49.5,23.5,56.05555555555556,41.9,8.63888888888889,23.416666666666668,36.9,6.972222222222222,22.416666666666668,31.1,14.944444444444445,18.916666666666668,79.0,77.2,62.7,14.5,14.027777777777779,11.166666666666666,1.26
2017,Arizona (Pac-12),True,37,32,5,86.5,36.7,29.9,6.8,26.405405405405407,55.351351351351354,47.7,24.135135135135137,57.32432432432432,42.1,6.594594594594595,16.89189189189189,39.0,6.45945945945946,20.83783783783784,31.0,17.16216216216216,22.43243243243243,76.5,76.6,65.9,10.6,13.54054054054054,11.162162162162161,1.21
2017,Middle Tenn. (C-USA),False,36,31,5,86.1,35.4,30.2,5.2,28.166666666666668,57.69444444444444,48.8,21.97222222222222,52.25,42.1,6.333333333333333,17.27777777777778,36.7,6.083333333333333,18.805555555555557,32.3,12.25,17.52777777777778,69.9,74.9,63.9,11.1,15.36111111111111,10.38888888888889,1.48
2017,UCLA (Pac-12),True,36,31,5,86.1,38.5,34.8,3.7,33.611111111111114,64.44444444444444,52.2,27.77777777777778,65.86111111111111,42.2,9.833333333333334,24.22222222222222,40.6,8.61111111111111,23.583333333333332,36.5,12.75,17.27777777777778,73.8,89.8,75.5,14.3,21.416666666666668,11.222222222222221,1.91
2017,Wichita St. (MVC),False,36,31,5,86.1,41.0,32.0,9.0,27.555555555555557,58.77777777777778,46.9,20.944444444444443,55.55555555555556,37.7,8.61111111111111,21.36111111111111,40.3,6.694444444444445,21.52777777777778,31.1,17.27777777777778,23.555555555555557,73.3,81.0,62.4,18.6,16.27777777777778,11.277777777777779,1.44
2017,Kansas (Big 12),True,36,31,5,86.1,38.7,34.3,4.4,29.75,60.916666666666664,48.8,25.666666666666668,61.111111111111114,42.0,8.833333333333334,21.86111111111111,40.4,7.444444444444445,20.916666666666668,35.6,14.86111111111111,21.916666666666668,67.8,83.2,71.9,11.3,16.22222222222222,12.666666666666666,1.28
2017,SMU (AAC),False,35,30,5,85.7,38.1,29.5,8.7,26.114285714285714,55.31428571428572,47.2,21.285714285714285,55.08571428571429,38.6,8.17142857142857,20.142857142857142,40.6,8.057142857142857,25.085714285714285,32.1,13.857142857142858,19.914285714285715,69.6,74.3,60.0,14.3,16.2,10.771428571428572,1.5
2017,Saint Mary's (CA) (WCC),False,34,29,5,85.3,35.5,26.5,9.0,26.235294117647058,52.85294117647059,49.6,21.705882352941178,52.705882352941174,41.2,8.617647058823529,21.88235294117647,39.4,4.382352941176471,14.588235294117647,30.0,10.941176470588236,14.676470588235293,74.5,72.0,57.5,14.6,16.558823529411764,10.735294117647058,1.54
2017,Oregon (Pac-12),True,39,33,6,84.6,36.6,32.5,4.2,27.974358974358974,58.205128205128204,48.1,23.897435897435898,59.256410256410255,40.3,8.564102564102564,22.564102564102566,38.0,7.0,22.384615384615383,31.3,14.35897435897436,20.17948717948718,71.2,78.9,65.8,13.1,15.743589743589743,11.64102564102564,1.35
