Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,UCF (AAC),36,24-12,793,"2,175",36.5
2,Gonzaga (WCC),39,37-2,875,"2,399",36.5
3,CSU Bakersfield (WAC),35,25-10,696,"1,871",37.2
4,Wichita St. (MVC),36,31-5,754,"2,000",37.7
5,Illinois St. (MVC),35,28-7,733,"1,935",37.9
6,UC Irvine (Big West),36,21-15,779,"2,033",38.3
7,SMU (AAC),35,30-5,745,"1,928",38.6
8,San Diego St. (Mountain West),33,19-14,715,"1,845",38.8
9,Cincinnati (AAC),36,30-6,767,"1,975",38.8
10,East Carolina (AAC),33,15-18,771,"1,968",39.2
11,N.C. Central (MEAC),34,25-9,788,"2,007",39.3
12,UConn (AAC),33,16-17,754,"1,919",39.3
13,Georgia Tech (ACC),37,21-16,887,"2,231",39.8
14,Virginia (ACC),34,23-11,658,"1,654",39.8
15,California (Pac-12),34,21-13,757,"1,894",40
16,Minnesota (Big Ten),34,24-10,857,"2,142",40
17,Old Dominion (C-USA),31,19-12,632,"1,579",40
18,South Carolina (SEC),37,26-11,789,"1,969",40.1
19,Wyoming (Mountain West),38,23-15,957,"2,384",40.1
20,Louisville (ACC),34,25-9,760,"1,893",40.1
21,Seattle U (WAC),30,13-17,727,"1,803",40.3
22,Oregon (Pac-12),39,33-6,932,"2,311",40.3
23,Northwestern (Big Ten),36,24-12,817,"2,025",40.3
24,Texas A&M (SEC),31,16-15,739,"1,829",40.4
25,Alabama (SEC),34,19-15,748,"1,848",40.5
26,Baylor (Big 12),35,27-8,794,"1,960",40.5
27,Norfolk St. (MEAC),34,17-17,822,"2,024",40.6
28,Rhode Island (Atlantic 10),35,25-10,762,"1,876",40.6
29,Tennessee St. (OVC),30,17-13,637,"1,567",40.7
30,Colorado St. (Mountain West),36,24-12,860,"2,115",40.7
31,Monmouth (MAAC),34,27-7,853,"2,097",40.7
32,Oakland (Horizon),34,25-9,882,"2,166",40.7
33,Winthrop (Big South),33,26-7,811,"1,990",40.8
34,Houston (AAC),32,21-11,701,"1,718",40.8
35,Wagner (NEC),30,16-14,670,"1,640",40.9
36,Florida (SEC),36,27-9,849,"2,072",41
37,Michigan St. (Big Ten),35,20-15,832,"2,029",41
38,Georgia (SEC),34,19-15,832,"2,025",41.1
39,Georgia St. (Sun Belt),33,20-13,758,"1,844",41.1
40,Saint Mary's (CA) (WCC),34,29-5,738,"1,792",41.2
41,Harvard (Ivy League),28,18-10,634,"1,539",41.2
42,Texas St. (Sun Belt),36,22-14,780,"1,892",41.2
43,UT Arlington (Sun Belt),36,27-9,859,"2,083",41.2
44,Wisconsin (Big Ten),37,27-10,822,"1,993",41.2
45,Dayton (Atlantic 10),32,24-8,731,"1,772",41.3
46,Massachusetts (Atlantic 10),33,15-18,783,"1,897",41.3
47,North Carolina (ACC),40,33-7,982,"2,377",41.3
48,Rutgers (Big Ten),33,15-18,778,"1,883",41.3
49,Valparaiso (Horizon),33,24-9,801,"1,936",41.4
50,Ohio (MAC),31,20-11,768,"1,854",41.4
51,Louisiana Tech (C-USA),33,23-10,810,"1,955",41.4
52,Buffalo (MAC),32,17-15,794,"1,915",41.5
53,Fresno St. (Mountain West),33,20-13,755,"1,820",41.5
54,Utah Valley (WAC),34,17-17,886,"2,135",41.5
55,Mercer (SoCon),32,15-17,735,"1,771",41.5
56,Idaho (Big Sky),33,19-14,752,"1,810",41.5
57,Saint Peter's (MAAC),36,23-13,782,"1,881",41.6
58,Maryland (Big Ten),33,24-9,797,"1,917",41.6
59,Princeton (Ivy League),30,23-7,652,"1,568",41.6
60,Ohio St. (Big Ten),32,17-15,791,"1,902",41.6
61,Florida St. (ACC),35,26-9,857,"2,060",41.6
62,BYU (WCC),34,22-12,906,"2,176",41.6
63,Penn (Ivy League),28,13-15,650,"1,561",41.6
64,Bradley (MVC),33,13-20,775,"1,861",41.6
65,Utah (Pac-12),32,20-12,787,"1,887",41.7
66,Coastal Carolina (Sun Belt),39,20-19,979,"2,347",41.7
67,ETSU (SoCon),35,27-8,819,"1,963",41.7
68,Gardner-Webb (Big South),33,19-14,787,"1,886",41.7
69,Jacksonville St. (OVC),35,20-15,816,"1,955",41.7
70,Arkansas (SEC),36,26-10,901,"2,158",41.8
71,Alcorn (SWAC),32,18-14,768,"1,837",41.8
72,Towson (CAA),33,20-13,740,"1,769",41.8
73,Col. of Charleston (CAA),35,25-10,813,"1,942",41.9
74,Miami (FL) (ACC),33,21-12,761,"1,817",41.9
75,Villanova (Big East),36,32-4,846,"2,018",41.9
76,Indiana St. (MVC),31,11-20,758,"1,808",41.9
77,New Mexico St. (WAC),34,28-6,827,"1,972",41.9
78,Kansas (Big 12),36,31-5,924,"2,200",42
79,Elon (CAA),32,18-14,836,"1,990",42
80,Purdue (Big Ten),35,27-8,902,"2,145",42.1
81,Middle Tenn. (C-USA),36,31-5,791,"1,881",42.1
82,Arizona (Pac-12),37,32-5,893,"2,121",42.1
83,Evansville (MVC),33,16-17,758,"1,800",42.1
84,UTEP (C-USA),32,15-17,746,"1,770",42.1
85,Georgetown (Big East),32,14-18,798,"1,893",42.2
86,VCU (Atlantic 10),35,26-9,800,"1,897",42.2
87,UCLA (Pac-12),36,31-5,"1,000","2,371",42.2
88,Ball St. (MAC),34,21-13,885,"2,097",42.2
89,San Francisco (WCC),33,20-13,793,"1,879",42.2
90,Eastern Mich. (MAC),33,16-17,772,"1,829",42.2
91,UIC (Horizon),36,17-19,984,"2,329",42.2
92,Memphis (AAC),32,19-13,794,"1,879",42.3
93,Cal St. Fullerton (Big West),32,17-15,771,"1,824",42.3
94,Vermont (America East),35,29-6,812,"1,918",42.3
95,Utah St. (Mountain West),31,14-17,771,"1,821",42.3
96,Furman (SoCon),35,23-12,812,"1,917",42.4
97,UC Riverside (Big West),28,7-21,679,"1,603",42.4
98,Kentucky (SEC),38,32-6,979,"2,309",42.4
99,West Virginia (Big 12),37,28-9,826,"1,948",42.4
100,Texas (Big 12),33,11-22,820,"1,932",42.4
101,FGCU (ASUN),34,26-8,830,"1,954",42.5
102,Vanderbilt (SEC),35,19-16,862,"2,029",42.5
103,George Mason (Atlantic 10),34,20-14,888,"2,090",42.5
104,Boston U. (Patriot),32,18-14,769,"1,809",42.5
105,Ole Miss (SEC),36,22-14,938,"2,205",42.5
106,New Hampshire (America East),32,20-12,787,"1,848",42.6
107,Southern U. (SWAC),33,15-18,849,"1,993",42.6
108,Sam Houston (Southland),34,21-13,782,"1,835",42.6
109,UC Davis (Big West),36,23-13,889,"2,086",42.6
110,Howard (MEAC),34,10-24,841,"1,973",42.6
111,LIU (NEC),32,20-12,766,"1,796",42.7
112,Bucknell (Patriot),35,26-9,860,"2,016",42.7
113,Belmont (OVC),30,23-7,742,"1,739",42.7
114,Boise St. (Mountain West),32,20-12,775,"1,816",42.7
115,Tennessee (SEC),32,16-16,783,"1,832",42.7
116,Mississippi St. (SEC),32,16-16,792,"1,852",42.8
117,Troy (Sun Belt),37,22-15,933,"2,181",42.8
118,Missouri (SEC),32,8-24,779,"1,821",42.8
119,Rider (MAAC),33,18-15,859,"2,007",42.8
120,Nevada (Mountain West),35,28-7,920,"2,149",42.8
121,Saint Francis (PA) (NEC),34,17-17,924,"2,157",42.8
122,Iowa St. (Big 12),35,24-11,933,"2,178",42.8
123,UNC Greensboro (SoCon),35,25-10,832,"1,942",42.8
124,Yale (Ivy League),29,18-11,744,"1,736",42.9
125,Samford (SoCon),36,20-16,961,"2,241",42.9
126,South Fla. (AAC),30,7-23,740,"1,725",42.9
127,Indiana (Big Ten),34,18-16,867,"2,021",42.9
128,North Dakota St. (Summit League),30,19-11,757,"1,764",42.9
129,Portland (WCC),33,11-22,846,"1,971",42.9
130,UNI (MVC),30,14-16,697,"1,623",42.9
131,Syracuse (ACC),34,19-15,867,"2,017",43
132,Penn St. (Big Ten),33,15-18,856,"1,990",43
133,Temple (AAC),32,16-16,807,"1,875",43
134,Southeastern La. (Southland),32,16-16,752,"1,747",43
