Rank,Team,GM,W-L,AST,TO,Ratio
1,Davidson (Atlantic 10),33,21-12,551,315,1.75
2,Nevada (Mountain West),37,29-8,598,357,1.68
3,Creighton (Big East),33,21-12,588,371,1.58
4,Wichita St. (AAC),33,25-8,610,385,1.58
5,Virginia (ACC),34,31-3,458,290,1.58
6,Saint Mary's (CA) (WCC),36,30-6,557,357,1.56
7,Villanova (Big East),40,36-4,655,425,1.54
8,Michigan (Big Ten),41,33-8,585,380,1.54
9,North Carolina (ACC),37,26-11,674,445,1.51
10,Southern Miss. (C-USA),34,16-18,501,332,1.51
11,Purdue (Big Ten),37,30-7,598,399,1.50
12,Southern California (Pac-12),36,24-12,569,383,1.49
13,TCU (Big 12),33,21-12,615,419,1.47
14,Notre Dame (ACC),36,21-15,520,355,1.46
15,Michigan St. (Big Ten),35,30-5,670,459,1.46
16,Old Dominion (C-USA),32,25-7,483,333,1.45
17,William & Mary (CAA),31,19-12,548,382,1.43
18,Rhode Island (Atlantic 10),34,26-8,520,363,1.43
19,UC Santa Barbara (Big West),32,23-9,481,337,1.43
20,Kansas (Big 12),39,31-8,649,456,1.42
21,Duke (ACC),37,29-8,648,460,1.41
22,Cincinnati (AAC),36,31-5,570,405,1.41
23,Saint Joseph's (Atlantic 10),32,16-16,447,319,1.40
24,Furman (SoCon),33,23-10,526,382,1.38
25,Iona (MAAC),34,20-14,542,395,1.37
26,Virginia Tech (ACC),33,21-12,542,396,1.37
27,Iowa (Big Ten),33,14-19,602,441,1.37
28,Elon (CAA),32,14-18,507,373,1.36
29,Stetson (ASUN),32,12-20,471,350,1.35
30,Gonzaga (WCC),37,32-5,564,420,1.34
31,Toledo (MAC),34,23-11,529,395,1.34
32,Buffalo (MAC),36,27-9,597,446,1.34
33,Arizona St. (Pac-12),32,20-12,458,343,1.34
34,West Virginia (Big 12),37,26-11,561,421,1.33
35,Florida (SEC),34,21-13,445,334,1.33
36,NC State (ACC),33,21-12,531,400,1.33
37,South Dakota St. (Summit League),35,28-7,467,353,1.32
37,Minnesota (Big Ten),32,15-17,467,353,1.32
39,BYU (WCC),35,24-11,533,403,1.32
40,Arkansas (SEC),35,23-12,501,381,1.31
41,Northern Ky. (Horizon),32,22-10,523,398,1.31
42,Xavier (Big East),35,29-6,579,441,1.31
43,Tennessee (SEC),35,26-9,550,422,1.30
44,Richmond (Atlantic 10),32,12-20,486,373,1.30
45,Penn (Ivy League),33,24-9,508,391,1.30
46,Louisiana (Sun Belt),34,27-7,591,455,1.30
47,Marshall (C-USA),36,25-11,615,476,1.29
48,Belmont (OVC),33,24-9,529,410,1.29
49,Utah (Pac-12),35,23-12,532,414,1.29
50,Ole Miss (SEC),32,12-20,468,365,1.28
51,UAB (C-USA),33,20-13,560,437,1.28
52,Oregon (Pac-12),36,23-13,556,434,1.28
53,Canisius (MAAC),33,21-12,553,432,1.28
54,Marquette (Big East),35,21-14,551,431,1.28
55,New Mexico (Mountain West),34,19-15,539,422,1.28
56,Mount St. Mary's (NEC),32,18-14,447,351,1.27
57,Portland St. (Big Sky),34,20-14,548,431,1.27
58,Oakland (Horizon),33,19-14,553,435,1.27
59,Wofford (SoCon),34,21-13,522,413,1.26
60,Loyola Chicago (MVC),38,32-6,594,472,1.26
61,Butler (Big East),35,21-14,489,391,1.25
62,Ohio St. (Big Ten),34,25-9,499,399,1.25
63,Purdue Fort Wayne (Summit League),33,18-15,485,389,1.25
64,Yale (Ivy League),31,16-15,507,407,1.25
65,Arizona (Pac-12),35,27-8,531,427,1.24
66,UMBC (America East),36,25-11,547,440,1.24
67,Army West Point (Patriot),30,13-17,501,403,1.24
68,UCLA (Pac-12),33,21-12,495,399,1.24
69,San Diego St. (Mountain West),33,22-11,488,394,1.24
70,SMU (AAC),33,17-16,474,383,1.24
71,Hofstra (CAA),31,19-12,413,335,1.23
72,Nebraska (Big Ten),33,22-11,446,362,1.23
73,Murray St. (OVC),32,26-6,471,384,1.23
74,Drake (MVC),34,17-17,504,412,1.22
75,LSU (SEC),33,18-15,467,382,1.22
76,Seton Hall (Big East),34,22-12,527,432,1.22
77,Samford (SoCon),32,10-22,530,435,1.22
78,USC Upstate (ASUN),32,7-25,449,370,1.21
79,Houston (AAC),35,27-8,505,418,1.21
80,St. Bonaventure (Atlantic 10),34,26-8,472,391,1.21
81,Vermont (America East),35,27-8,468,388,1.21
82,Kansas St. (Big 12),37,25-12,510,423,1.21
83,Grand Canyon (WAC),34,22-12,540,450,1.20
84,Northwestern (Big Ten),32,15-17,448,374,1.20
85,Campbell (Big South),34,18-16,482,403,1.20
86,Pepperdine (WCC),32,6-26,449,376,1.19
86,Cornell (Ivy League),28,12-16,449,376,1.19
88,Massachusetts (Atlantic 10),33,13-20,505,423,1.19
89,South Dakota (Summit League),35,26-9,463,388,1.19
90,Liberty (Big South),37,22-15,521,437,1.19
91,Western Mich. (MAC),32,17-15,406,343,1.18
92,Tulane (AAC),31,14-17,483,409,1.18
93,Central Mich. (MAC),36,21-15,492,417,1.18
94,Temple (AAC),33,17-16,421,357,1.18
95,Hampton (MEAC),35,19-16,518,440,1.18
96,UNCW (CAA),32,11-21,487,414,1.18
97,Central Ark. (Southland),35,18-17,565,481,1.17
98,ULM (Sun Belt),32,16-16,446,380,1.17
99,Colgate (Patriot),33,19-14,426,363,1.17
100,Penn St. (Big Ten),39,26-13,541,461,1.17
101,Auburn (SEC),34,26-8,481,410,1.17
102,Weber St. (Big Sky),31,20-11,430,368,1.17
103,Western Ky. (C-USA),38,27-11,515,441,1.17
104,Wisconsin (Big Ten),33,15-18,411,353,1.16
105,Texas Tech (Big 12),37,27-10,529,455,1.16
106,Northeastern (CAA),33,23-10,523,450,1.16
107,Louisiana Tech (C-USA),33,17-16,470,405,1.16
108,Saint Francis (PA) (NEC),31,18-13,416,359,1.16
109,Utah Valley (WAC),34,23-11,549,474,1.16
110,Fairfield (MAAC),33,17-16,487,421,1.16
111,Mercer (SoCon),34,19-15,490,424,1.16
112,Jacksonville St. (OVC),36,23-13,542,469,1.16
113,Bucknell (Patriot),35,25-10,505,437,1.16
114,Miami (FL) (ACC),32,22-10,424,367,1.16
115,Santa Clara (WCC),31,11-20,404,350,1.15
116,Wyoming (Mountain West),33,20-13,518,449,1.15
117,Louisville (ACC),36,22-14,489,424,1.15
118,Georgia St. (Sun Belt),35,24-11,455,395,1.15
119,Florida St. (ACC),35,23-12,523,456,1.15
120,Iowa St. (Big 12),31,13-18,423,369,1.15
121,Dayton (Atlantic 10),31,14-17,488,426,1.15
122,VCU (Atlantic 10),33,18-15,510,446,1.14
123,Col. of Charleston (CAA),34,26-8,387,339,1.14
124,Georgetown (Big East),30,15-15,522,458,1.14
125,Air Force (Mountain West),31,12-19,445,391,1.14
126,Columbia (Ivy League),27,8-19,384,338,1.14
127,San Francisco (WCC),39,22-17,526,464,1.13
128,Middle Tenn. (C-USA),33,25-8,468,413,1.13
129,UNLV (Mountain West),33,20-13,535,473,1.13
130,Texas A&M (SEC),35,22-13,538,476,1.13
131,Providence (Big East),35,21-14,485,430,1.13
132,Indiana (Big Ten),31,16-15,435,386,1.13
133,Lehigh (Patriot),30,16-14,428,380,1.13
134,Savannah St. (MEAC),32,15-17,504,448,1.13
135,New Mexico St. (WAC),34,28-6,481,429,1.12
136,Oregon St. (Pac-12),32,16-16,475,424,1.12
137,Clemson (ACC),35,25-10,463,414,1.12
138,UTSA (C-USA),35,20-15,492,440,1.12
139,Idaho (Big Sky),31,22-9,459,411,1.12
140,Oklahoma (Big 12),32,18-14,479,429,1.12
141,UTRGV (WAC),33,15-18,499,447,1.12
142,Boston College (ACC),35,19-16,492,441,1.12
143,Baylor (Big 12),34,19-15,516,463,1.11
144,Sam Houston (Southland),36,21-15,527,473,1.11
145,UNC Asheville (Big South),34,21-13,522,469,1.11
146,Missouri St. (MVC),33,18-15,425,382,1.11
147,N.C. A&T (MEAC),35,20-15,534,481,1.11
148,The Citadel (SoCon),32,11-21,528,477,1.11
149,Oklahoma St. (Big 12),36,21-15,515,466,1.11
150,Holy Cross (Patriot),31,12-19,421,381,1.10
151,Southern Ill. (MVC),33,20-13,464,420,1.10
152,Oral Roberts (Summit League),32,11-21,453,411,1.10
153,ETSU (SoCon),34,25-9,500,454,1.10
154,N.C. Central (MEAC),35,19-16,545,495,1.10
155,Princeton (Ivy League),29,13-16,367,334,1.10
156,Eastern Wash. (Big Sky),35,20-15,441,402,1.10
157,La Salle (Atlantic 10),32,13-19,410,374,1.10
158,Albany (NY) (America East),32,22-10,405,371,1.09
159,Sacramento St. (Big Sky),32,7-25,420,385,1.09
160,Kennesaw St. (ASUN),30,10-20,446,409,1.09
161,Delaware (CAA),33,14-19,386,354,1.09
162,Southeast Mo. St. (OVC),31,14-17,423,388,1.09
163,LMU (CA) (WCC),31,11-20,439,404,1.09
164,Fordham (Atlantic 10),31,9-22,419,386,1.09
165,FGCU (ASUN),35,23-12,535,494,1.08
166,Rider (MAAC),32,22-10,459,424,1.08
167,DePaul (Big East),31,11-20,465,430,1.08
168,Fresno St. (Mountain West),32,21-11,415,384,1.08
169,Hartford (America East),33,19-14,433,402,1.08
170,Ohio (MAC),31,14-17,443,412,1.08
171,UT Arlington (Sun Belt),34,21-13,545,507,1.07
172,Utah St. (Mountain West),34,17-17,474,441,1.07
173,UMass Lowell (America East),30,12-18,435,405,1.07
174,St. John's (NY) (Big East),33,16-17,422,393,1.07
175,Pacific (WCC),32,14-18,395,368,1.07
176,Ball St. (MAC),32,19-13,453,423,1.07
177,Washington St. (Pac-12),31,12-19,450,421,1.07
178,Illinois St. (MVC),33,18-15,468,438,1.07
179,San Diego (WCC),34,20-14,475,445,1.07
180,Troy (Sun Belt),33,16-17,435,408,1.07
181,FIU (C-USA),32,14-18,378,355,1.06
182,Hawaii (Big West),30,17-13,428,402,1.06
183,Niagara (MAAC),33,19-14,397,373,1.06
184,Southeastern La. (Southland),34,22-12,498,468,1.06
185,Wake Forest (ACC),31,11-20,432,407,1.06
186,Winthrop (Big South),31,19-12,455,429,1.06
187,North Dakota St. (Summit League),32,15-17,422,402,1.05
188,Lipscomb (ASUN),33,23-10,517,493,1.05
189,Abilene Christian (Southland),32,16-16,482,461,1.05
190,George Washington (Atlantic 10),33,15-18,440,421,1.05
191,NJIT (ASUN),30,14-16,417,399,1.05
192,Lamar University (Southland),33,19-14,449,430,1.04
193,Bowling Green (MAC),32,16-16,425,408,1.04
194,Milwaukee (Horizon),33,16-17,429,412,1.04
195,Bryant (NEC),31,3-28,417,401,1.04
196,Illinois (Big Ten),32,14-18,442,427,1.04
197,Vanderbilt (SEC),32,12-20,392,379,1.03
198,Maryland (Big Ten),32,19-13,452,438,1.03
199,North Florida (ASUN),33,14-19,490,478,1.03
200,Kentucky (SEC),37,26-11,489,481,1.02
201,New Hampshire (America East),31,10-21,368,362,1.02
202,Mississippi St. (SEC),37,25-12,491,483,1.02
203,Cal Poly (Big West),31,9-22,372,366,1.02
204,Montana (Big Sky),34,26-8,428,422,1.01
205,Bradley (MVC),33,20-13,447,441,1.01
206,Texas St. (Sun Belt),33,15-18,448,442,1.01
207,Green Bay (Horizon),33,13-20,459,453,1.01
208,James Madison (CAA),32,10-22,388,383,1.01
209,UNC Greensboro (SoCon),35,27-8,487,481,1.01
210,Portland (WCC),32,10-22,387,383,1.01
211,Eastern Ky. (OVC),31,11-20,405,401,1.01
212,Eastern Mich. (MAC),35,22-13,450,447,1.01
213,Detroit Mercy (Horizon),32,8-24,437,435,1.00
214,Montana St. (Big Sky),32,13-19,401,400,1.00
215,Denver (Summit League),30,15-15,452,451,1.00
216,Wright St. (Horizon),35,25-10,460,459,1.00
217,Tennessee Tech (OVC),33,19-14,471,471,1.00
217,Miami (OH) (MAC),34,16-18,453,453,1.00
217,Radford (Big South),36,23-13,442,442,1.00
217,CSUN (Big West),30,6-24,366,366,1.00
221,Duquesne (Atlantic 10),32,16-16,382,383,1.00
222,Navy (Patriot),32,20-12,450,452,1.00
223,Georgia Tech (ACC),32,13-19,409,411,1.00
224,Cleveland St. (Horizon),35,12-23,456,459,0.99
225,Omaha (Summit League),31,9-22,405,409,0.99
226,Bethune-Cookman (MEAC),32,18-14,501,507,0.99
227,Binghamton (America East),31,11-20,376,381,0.99
228,Houston Baptist (Southland),31,6-25,432,438,0.99
229,Boise St. (Mountain West),32,23-9,427,433,0.99
230,Texas (Big 12),34,19-15,394,400,0.99
231,Boston U. (Patriot),31,15-16,420,427,0.98
232,Dartmouth (Ivy League),27,7-20,359,365,0.98
233,North Dakota (Big Sky),32,12-20,411,418,0.98
234,Tulsa (AAC),31,19-12,391,399,0.98
235,Fairleigh Dickinson (NEC),31,13-18,416,426,0.98
236,Wagner (NEC),33,23-10,440,451,0.98
237,Northern Colo. (Big Sky),38,26-12,454,468,0.97
238,New Orleans (Southland),33,16-17,483,498,0.97
239,Presbyterian (Big South),32,11-21,368,380,0.97
240,Evansville (MVC),32,17-15,417,431,0.97
241,Youngstown St. (Horizon),32,8-24,445,460,0.97
242,Nicholls (Southland),32,21-11,474,490,0.97
243,North Texas (C-USA),38,20-18,477,494,0.97
244,Texas Southern (SWAC),36,16-20,438,454,0.96
245,Colorado St. (Mountain West),32,11-21,409,426,0.96
246,Georgia (SEC),33,18-15,402,420,0.96
247,Seattle U (WAC),34,20-14,463,484,0.96
248,Prairie View (SWAC),34,16-18,439,459,0.96
249,Fla. Atlantic (C-USA),31,12-19,376,394,0.95
250,Stony Brook (America East),32,13-19,427,448,0.95
251,Jackson St. (SWAC),32,12-20,350,368,0.95
252,Akron (MAC),32,14-18,418,440,0.95
253,Gardner-Webb (Big South),32,14-18,415,437,0.95
254,Memphis (AAC),34,21-13,443,467,0.95
255,UNI (MVC),32,16-16,345,364,0.95
