Rank,Team,GM,W-L,FT,FTA,FT%
1,William & Mary (CAA),31,19-12,479,591,81
2,Central Mich. (MAC),36,21-15,573,711,80.6
3,Marquette (Big East),35,21-14,483,600,80.5
4,Davidson (Atlantic 10),33,21-12,368,461,79.8
5,Liberty (Big South),37,22-15,523,660,79.2
6,La Salle (Atlantic 10),32,13-19,465,591,78.7
7,Cal Poly (Big West),31,9-22,373,478,78
8,Xavier (Big East),35,29-6,657,843,77.9
9,Wofford (SoCon),34,21-13,419,538,77.9
10,Villanova (Big East),40,36-4,559,718,77.9
11,Hampton (MEAC),35,19-16,565,727,77.7
12,Lehigh (Patriot),30,16-14,373,480,77.7
13,New Mexico (Mountain West),34,19-15,550,708,77.7
14,Butler (Big East),35,21-14,436,562,77.6
15,Harvard (Ivy League),32,18-14,397,512,77.5
16,Georgetown (Big East),30,15-15,524,676,77.5
17,Evansville (MVC),32,17-15,448,578,77.5
18,Auburn (SEC),34,26-8,647,836,77.4
19,Colgate (Patriot),33,19-14,427,552,77.4
20,Oakland (Horizon),33,19-14,537,697,77
21,Drake (MVC),34,17-17,493,640,77
22,Saint Mary's (CA) (WCC),36,30-6,460,598,76.9
22,Lafayette (Patriot),31,10-21,390,507,76.9
24,West Virginia (Big 12),37,26-11,570,744,76.6
25,Weber St. (Big Sky),31,20-11,462,604,76.5
26,Marshall (C-USA),36,25-11,571,747,76.4
27,Samford (SoCon),32,10-22,454,594,76.4
28,Eastern Wash. (Big Sky),35,20-15,437,572,76.4
29,Oregon (Pac-12),36,23-13,521,683,76.3
30,Saint Francis (PA) (NEC),31,18-13,480,630,76.2
31,South Dakota St. (Summit League),35,28-7,578,759,76.2
32,Louisiana (Sun Belt),34,27-7,590,775,76.1
33,North Dakota St. (Summit League),32,15-17,414,544,76.1
34,Mercer (SoCon),34,19-15,517,680,76
35,Arizona (Pac-12),35,27-8,563,741,76
36,North Florida (ASUN),33,14-19,433,570,76
37,Utah (Pac-12),35,23-12,497,655,75.9
38,Notre Dame (ACC),36,21-15,508,670,75.8
39,Oklahoma St. (Big 12),36,21-15,543,717,75.7
40,Tennessee (SEC),35,26-9,541,715,75.7
41,Brown (Ivy League),27,11-16,504,667,75.6
42,Detroit Mercy (Horizon),32,8-24,469,621,75.5
43,Maryland (Big Ten),32,19-13,487,645,75.5
44,Clemson (ACC),35,25-10,498,660,75.5
45,Albany (NY) (America East),32,22-10,513,680,75.4
46,Col. of Charleston (CAA),34,26-8,527,699,75.4
47,Virginia (ACC),34,31-3,340,451,75.4
48,Vermont (America East),35,27-8,569,755,75.4
49,Green Bay (Horizon),33,13-20,504,670,75.2
50,St. Bonaventure (Atlantic 10),34,26-8,597,794,75.2
51,South Dakota (Summit League),35,26-9,555,740,75
51,BYU (WCC),35,24-11,537,716,75
51,Campbell (Big South),34,18-16,486,648,75
51,UAB (C-USA),33,20-13,423,564,75
55,Creighton (Big East),33,21-12,397,531,74.8
56,Northwestern (Big Ten),32,15-17,402,538,74.7
57,Michigan St. (Big Ten),35,30-5,535,716,74.7
58,Eastern Ky. (OVC),31,11-20,448,600,74.7
59,Massachusetts (Atlantic 10),33,13-20,359,481,74.6
60,UIW (Southland),28,7-21,470,630,74.6
61,Oklahoma (Big 12),32,18-14,510,684,74.6
62,UConn (AAC),32,14-18,442,593,74.5
63,Vanderbilt (SEC),32,12-20,477,642,74.3
64,North Carolina (ACC),37,26-11,503,677,74.3
65,Purdue (Big Ten),37,30-7,555,747,74.3
