Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2019,Virginia (ACC),True,1.0,1.0,At-Large,2.0,92.1,15.3,5.1,47.4,74.4,39.5,38.5,28.9,1.59
2019,Gonzaga (WCC),False,8.0,1.0,At-Large,4.0,89.2,22.8,6.8,52.6,76.1,36.3,38.9,30.4,1.7
2019,Houston (AAC),False,16.0,3.0,At-Large,9.0,89.2,14.3,7.2,44.6,70.3,35.5,36.8,27.9,1.33
2019,Buffalo (MAC),False,32.0,6.0,Auto,23.0,88.9,13.5,3.8,46.2,68.7,33.7,42.0,29.8,1.38
2019,Wofford (SoCon),False,32.0,7.0,Auto,28.0,85.7,16.7,5.8,49.0,70.4,41.4,42.5,32.1,1.39
2019,New Mexico St. (WAC),False,64.0,12.0,Auto,49.0,85.7,13.6,9.7,46.0,67.8,33.4,41.9,33.4,1.23
2019,Nevada (Mountain West),False,64.0,7.0,At-Large,26.0,85.3,13.4,2.6,46.2,70.8,34.7,41.0,33.2,1.41
2019,Murray St. (OVC),False,32.0,12.0,Auto,46.0,84.8,14.3,3.2,49.2,73.3,35.3,41.1,28.6,1.48
2019,Duke (ACC),True,8.0,1.0,Auto,1.0,84.2,14.9,5.8,47.8,68.6,30.8,39.8,30.0,1.24
2019,UC Irvine (Big West),False,32.0,13.0,Auto,51.0,83.8,8.7,7.0,45.7,70.2,35.9,38.2,33.7,1.09
2019,Tennessee (SEC),True,16.0,2.0,At-Large,5.0,83.8,12.3,3.3,49.6,75.4,36.7,40.4,34.8,1.6
2019,Michigan St. (Big Ten),True,4.0,2.0,Auto,6.0,82.1,12.6,8.8,48.0,75.3,37.8,38.1,31.6,1.45
2019,Belmont (OVC),False,64.0,11.0,At-Large,42.0,81.8,13.0,3.3,49.8,73.7,37.2,42.4,34.0,1.71
2019,Texas Tech (Big 12),True,2.0,3.0,At-Large,10.0,81.6,13.3,1.3,46.9,73.2,36.5,37.0,29.8,1.13
2019,Michigan (Big Ten),True,16.0,2.0,At-Large,8.0,81.1,11.3,0.9,44.8,70.1,34.2,39.7,29.1,1.52
2019,Kentucky (SEC),True,8.0,2.0,At-Large,7.0,81.1,11.1,9.4,47.7,73.9,35.4,40.0,34.3,1.08
2019,North Carolina (ACC),True,16.0,1.0,At-Large,3.0,80.6,12.6,10.4,46.4,74.3,36.2,41.6,33.5,1.43
2019,Liberty (ASUN),False,32.0,12.0,Auto,50.0,80.6,12.4,1.9,48.7,77.5,36.9,41.7,32.4,1.35
2019,UNC Greensboro (SoCon),False,DNP,DNP,DNP,DNP,80.6,8.2,0.9,45.7,69.7,34.2,43.8,34.6,1.07
2019,Cincinnati (AAC),False,64.0,7.0,Auto,27.0,80.0,9.0,5.0,43.2,70.4,34.5,41.0,35.5,1.28
2019,LSU (SEC),True,16.0,3.0,At-Large,11.0,80.0,7.3,4.5,45.7,75.2,31.9,43.2,33.7,1.0
2019,Utah St. (Mountain West),False,64.0,8.0,Auto,32.0,80.0,11.5,8.8,47.0,74.8,35.5,39.3,35.3,1.34
2019,Abilene Christian (Southland),False,64.0,15.0,Auto,62.0,79.4,10.0,0.9,46.9,71.2,38.0,43.4,33.0,1.29
2019,Vermont (America East),False,64.0,13.0,Auto,52.0,79.4,10.7,4.2,45.8,74.8,35.9,41.9,34.6,1.06
2019,Florida St. (ACC),True,16.0,4.0,At-Large,14.0,78.4,7.7,4.5,44.2,74.4,33.2,40.7,33.5,0.97
2019,Lipscomb (ASUN),False,DNP,DNP,DNP,DNP,78.4,12.9,4.0,48.0,75.8,37.3,41.7,31.9,1.33
2019,Hofstra (CAA),False,DNP,DNP,DNP,DNP,77.1,10.5,0.4,48.6,80.2,38.5,45.2,34.7,1.43
2019,Toledo (MAC),False,DNP,DNP,DNP,DNP,75.8,8.5,3.8,45.2,77.2,37.8,41.1,31.7,1.34
2019,VCU (Atlantic 10),False,64.0,8.0,At-Large,29.0,75.8,9.1,1.0,43.8,70.1,30.5,38.7,28.5,0.98
2019,Furman (SoCon),False,DNP,DNP,DNP,DNP,75.8,11.5,1.1,47.4,71.7,36.1,41.9,31.6,1.29
2019,Auburn (SEC),True,4.0,5.0,Auto,18.0,75.0,11.0,-1.1,45.0,71.1,37.7,43.7,34.5,1.23
2019,Washington (Pac-12),True,32.0,9.0,At-Large,33.0,75.0,5.0,-3.3,45.1,69.5,35.0,41.6,33.4,0.87
2019,Old Dominion (C-USA),False,64.0,14.0,Auto,56.0,74.3,4.8,4.7,40.6,66.3,34.9,39.1,32.4,1.08
2019,Virginia Tech (ACC),True,16.0,4.0,At-Large,16.0,74.3,11.5,2.4,47.0,76.1,39.4,40.8,32.7,1.35
2019,Montana (Big Sky),False,64.0,15.0,Auto,59.0,74.3,7.7,2.3,49.2,68.9,37.6,43.2,33.9,1.22
2019,Northern Ky. (Horizon),False,64.0,14.0,Auto,58.0,74.3,9.6,4.5,47.8,66.6,36.2,42.0,31.4,1.34
