Team,3FGPG,3FGAPG,3FG%
Lehigh (Patriot),9.26,21.90,42.3
Wofford (SoCon),11.00,26.54,41.4
South Dakota St. (Summit League),9.91,24.30,40.8
Grambling (SWAC),6.56,16.26,40.3
Fairleigh Dickinson (NEC),7.69,19.20,40
ULM (Sun Belt),10.09,25.46,39.6
Virginia (ACC),8.45,21.39,39.5
Virginia Tech (ACC),9.34,23.74,39.4
Colgate (Patriot),9.14,23.29,39.3
Omaha (Summit League),8.81,22.47,39.2
Gardner-Webb (Big South),8.03,20.54,39.1
Marquette (Big East),9.38,24.18,38.8
Creighton (Big East),10.63,27.46,38.7
Southern Miss. (C-USA),8.33,21.58,38.6
Hofstra (CAA),8.80,22.86,38.5
Western Ill. (Summit League),7.77,20.19,38.5
Oakland (Horizon),9.52,24.73,38.5
Georgia St. (Sun Belt),9.71,25.26,38.4
Utah Valley (WAC),8.09,21.14,38.2
Southern California (Pac-12),8.52,22.27,38.2
Northeastern (CAA),9.65,25.24,38.2
Pepperdine (WCC),9.21,24.09,38.2
Austin Peay (OVC),8.12,21.27,38.2
Fresno St. (Mountain West),10.69,28.03,38.1
Presbyterian (Big South),10.94,28.72,38.1
Hartford (America East),9.76,25.64,38.1
Lafayette (Patriot),9.33,24.53,38
Abilene Christian (Southland),7.38,19.41,38
Radford (Big South),8.64,22.76,37.9
Purdue Fort Wayne (Summit League),10.91,28.76,37.9
Delaware (CAA),8.55,22.61,37.8
Michigan St. (Big Ten),8.18,21.64,37.8
Toledo (MAC),9.85,26.06,37.8
Saint Mary's (CA) (WCC),7.44,19.71,37.8
Mississippi St. (SEC),8.59,22.76,37.7
Auburn (SEC),11.35,30.10,37.7
Quinnipiac (MAAC),11.23,29.77,37.7
Montana (Big Sky),8.20,21.80,37.6
UC Riverside (Big West),8.45,22.52,37.6
South Alabama (Sun Belt),8.38,22.38,37.5
Montana St. (Big Sky),9.56,25.56,37.4
Southern Ill. (MVC),6.66,17.81,37.4
Purdue (Big Ten),10.14,27.14,37.4
Lipscomb (ASUN),8.84,23.68,37.3
Winthrop (Big South),12.40,33.23,37.3
North Dakota (Summit League),8.03,21.57,37.2
Belmont (OVC),10.39,27.94,37.2
Oklahoma St. (Big 12),8.75,23.53,37.2
FGCU (ASUN),8.41,22.63,37.2
Central Mich. (MAC),8.71,23.49,37.1
Coastal Carolina (Sun Belt),8.35,22.53,37.1
Seattle U (WAC),7.21,19.45,37.1
Idaho (Big Sky),7.84,21.19,37
Eastern Ill. (OVC),8.50,22.97,37
Western Caro. (SoCon),9.25,25.00,37
Southeast Mo. St. (OVC),8.58,23.19,37
Utah (Pac-12),9.61,26.00,37
Samford (SoCon),7.70,20.82,37
Cleveland St. (Horizon),9.77,26.45,37
Liberty (ASUN),8.94,24.25,36.9
Florida A&M (MEAC),5.81,15.77,36.8
Bradley (MVC),6.86,18.66,36.8
Tennessee (SEC),7.08,19.30,36.7
Sam Houston (Southland),9.33,25.45,36.7
Dartmouth (Ivy League),8.80,24.00,36.7
Nicholls (Southland),10.45,28.52,36.7
Norfolk St. (MEAC),7.83,21.39,36.6
Loyola Chicago (MVC),6.06,16.56,36.6
South Carolina (SEC),7.56,20.69,36.6
Texas Tech (Big 12),7.29,19.97,36.5
Denver (Summit League),7.57,20.73,36.5
North Dakota St. (Summit League),9.49,26.00,36.5
Chattanooga (SoCon),9.06,24.84,36.5
Howard (MEAC),7.18,19.68,36.5
UCF (AAC),6.94,19.03,36.5
Iowa (Big Ten),8.14,22.34,36.4
Idaho St. (Big Sky),9.13,25.07,36.4
Weber St. (Big Sky),7.55,20.73,36.4
Washington St. (Pac-12),9.41,25.88,36.4
Gonzaga (WCC),7.76,21.35,36.3
Missouri (SEC),8.25,22.72,36.3
Marist (MAAC),7.90,21.77,36.3
Yale (Ivy League),7.67,21.13,36.3
James Madison (CAA),7.36,20.30,36.3
Indiana St. (MVC),5.74,15.84,36.3
Iowa St. (Big 12),8.40,23.17,36.3
Oral Roberts (Summit League),8.31,22.94,36.2
Northern Ky. (Horizon),8.74,24.14,36.2
San Diego St. (Mountain West),7.68,21.21,36.2
North Carolina (ACC),8.67,23.94,36.2
Columbia (Ivy League),8.46,23.39,36.2
Northern Colo. (Big Sky),9.59,26.53,36.2
Furman (SoCon),10.24,28.33,36.1
ETSU (SoCon),8.06,22.29,36.1
CSUN (Big West),6.88,19.06,36.1
Drake (MVC),8.21,22.74,36.1
Santa Clara (WCC),7.71,21.39,36
Harvard (Ivy League),8.39,23.29,36
UC Irvine (Big West),6.81,18.95,35.9
VMI (SoCon),10.09,28.09,35.9
Niagara (MAAC),8.28,23.06,35.9
Vermont (America East),8.03,22.38,35.9
Colorado St. (Mountain West),8.09,22.56,35.9
App State (Sun Belt),9.13,25.44,35.9
Wisconsin (Big Ten),7.09,19.76,35.9
Ole Miss (SEC),8.24,23.03,35.8
St. John's (NY) (Big East),8.50,23.79,35.7
Bowling Green (MAC),8.00,22.41,35.7
Sacred Heart (NEC),7.59,21.28,35.7
Northern Ill. (MAC),6.74,18.88,35.7
Detroit Mercy (Horizon),9.48,26.61,35.6
Kansas City (WAC),8.09,22.75,35.6
Elon (CAA),10.47,29.44,35.6
