Rank,Team,ASTPG,TOPG,Ratio
1,Belmont (OVC),19.55,11.42,1.71
2,Gonzaga (WCC),18.05,10.65,1.70
3,Tennessee (SEC),17.86,11.14,1.60
4,Southern Miss. (C-USA),16.76,10.45,1.60
5,Virginia (ACC),14.32,9.00,1.59
6,Presbyterian (Big South),15.69,9.94,1.58
7,Richmond (Atlantic 10),15.73,10.18,1.54
8,Michigan (Big Ten),13.84,9.08,1.52
9,Murray St. (OVC),17.91,12.12,1.48
10,Holy Cross (Patriot),15.55,10.61,1.47
11,Michigan St. (Big Ten),18.33,12.64,1.45
12,Hofstra (CAA),14.06,9.80,1.43
13,North Carolina (ACC),18.81,13.11,1.43
14,Campbell (Big South),14.61,10.21,1.43
15,Nevada (Mountain West),14.65,10.35,1.41
16,Wofford (SoCon),15.09,10.89,1.39
17,Buffalo (MAC),16.64,12.03,1.38
18,Notre Dame (ACC),12.82,9.27,1.38
19,San Francisco (WCC),14.16,10.35,1.37
20,Southern California (Pac-12),16.24,11.88,1.37
21,Oakland (Horizon),17.58,12.94,1.36
22,BYU (WCC),15.06,11.09,1.36
23,Purdue (Big Ten),14.39,10.61,1.36
24,Iowa St. (Big 12),15.06,11.14,1.35
25,Virginia Tech (ACC),15.17,11.23,1.35
26,Nebraska (Big Ten),12.94,9.58,1.35
27,William & Mary (CAA),17.06,12.65,1.35
28,Liberty (ASUN),14.78,10.97,1.35
29,Omaha (Summit League),12.78,9.50,1.35
30,Toledo (MAC),16.33,12.15,1.34
31,Sam Houston (Southland),16.82,12.52,1.34
32,Northern Ky. (Horizon),16.91,12.60,1.34
33,Utah St. (Mountain West),17.09,12.77,1.34
34,Lipscomb (ASUN),17.68,13.24,1.33
35,Houston (AAC),14.76,11.08,1.33
36,Purdue Fort Wayne (Summit League),15.91,11.97,1.33
37,Army West Point (Patriot),15.59,11.75,1.33
38,St. John's (NY) (Big East),13.88,10.53,1.32
39,Davidson (Atlantic 10),14.68,11.15,1.32
40,Wisconsin (Big Ten),12.65,9.65,1.31
41,Dayton (Atlantic 10),16.39,12.55,1.31
42,Radford (Big South),14.15,10.85,1.30
43,Hawaii (Big West),15.42,11.87,1.30
44,Saint Joseph's (Atlantic 10),12.03,9.27,1.30
45,Temple (AAC),14.42,11.15,1.29
46,Abilene Christian (Southland),15.41,11.97,1.29
46,Furman (SoCon),15.88,12.33,1.29
48,Hampton (Big South),13.91,10.83,1.28
49,Northwestern (Big Ten),14.09,10.97,1.28
50,Siena (MAAC),12.58,9.79,1.28
51,Yale (Ivy League),16.77,13.07,1.28
52,Cincinnati (AAC),13.31,10.43,1.28
53,Bucknell (Patriot),15.73,12.36,1.27
54,Iowa (Big Ten),15.49,12.20,1.27
55,Colorado St. (Mountain West),14.75,11.63,1.27
56,Northeastern (CAA),14.12,11.21,1.26
57,South Dakota St. (Summit League),14.82,11.79,1.26
58,SMU (AAC),13.78,10.97,1.26
59,Villanova (Big East),13.97,11.14,1.25
60,ULM (Sun Belt),14.23,11.37,1.25
61,Minnesota (Big Ten),14.53,11.64,1.25
62,Montana St. (Big Sky),15.34,12.31,1.25
63,CSUN (Big West),15.06,12.12,1.24
64,Duke (ACC),15.95,12.84,1.24
65,Drexel (CAA),14.50,11.75,1.23
66,Gardner-Webb (Big South),14.34,11.63,1.23
67,Auburn (SEC),14.30,11.65,1.23
68,New Mexico St. (WAC),14.69,11.97,1.23
69,Georgetown (Big East),16.39,13.42,1.22
70,Montana (Big Sky),14.57,11.94,1.22
71,UC Santa Barbara (Big West),13.47,11.09,1.21
72,Texas (Big 12),13.14,10.84,1.21
73,Columbia (Ivy League),15.82,13.07,1.21
74,Butler (Big East),13.15,10.88,1.21
75,Arkansas (SEC),15.97,13.24,1.21
76,Creighton (Big East),16.03,13.29,1.21
77,Kansas St. (Big 12),13.65,11.32,1.21
78,Wright St. (Horizon),13.83,11.49,1.20
79,Oregon St. (Pac-12),15.00,12.48,1.20
80,NC State (ACC),14.97,12.47,1.20
81,The Citadel (SoCon),15.43,12.87,1.20
82,TCU (Big 12),16.16,13.49,1.20
83,Colgate (Patriot),15.46,13.03,1.19
84,South Dakota (Summit League),12.73,10.80,1.18
85,Penn (Ivy League),15.00,12.74,1.18
86,Dartmouth (Ivy League),14.20,12.10,1.17
87,Marshall (C-USA),14.27,12.24,1.17
88,Eastern Wash. (Big Sky),13.74,11.79,1.16
89,Grand Canyon (WAC),14.06,12.09,1.16
90,Green Bay (Horizon),15.18,13.08,1.16
91,Austin Peay (OVC),13.76,11.88,1.16
92,Louisiana (Sun Belt),15.22,13.19,1.15
93,Drake (MVC),15.24,13.21,1.15
94,Hartford (America East),14.00,12.15,1.15
95,San Diego St. (Mountain West),14.32,12.47,1.15
96,Loyola Chicago (MVC),13.76,12.00,1.15
97,Louisiana Tech (C-USA),13.33,11.67,1.14
98,Fresno St. (Mountain West),14.28,12.50,1.14
99,Ole Miss (SEC),14.39,12.61,1.14
100,Kent St. (MAC),13.03,11.45,1.14
101,Texas Tech (Big 12),13.63,12.03,1.13
