Team,FGPG,FGAPG,FG%
Gonzaga (WCC),32,61,52.6
Dayton (Atlantic 10),27,54,50.4
South Dakota St. (Summit League),30,60,50.1
Ga. Southern (Sun Belt),31,61,49.9
Belmont (OVC),32,63,49.8
Tennessee (SEC),30,60,49.6
Yale (Ivy League),30,60,49.3
Loyola Chicago (MVC),24,50,49.3
Murray St. (OVC),30,61,49.2
Montana (Big Sky),28,57,49.2
Wofford (SoCon),30,61,49
Liberty (ASUN),27,55,48.7
Gardner-Webb (Big South),27,56,48.7
ETSU (SoCon),30,61,48.6
Hofstra (CAA),29,59,48.6
Little Rock (Sun Belt),26,54,48.4
Col. of Charleston (CAA),27,55,48.3
Lehigh (Patriot),28,57,48.2
Utah Valley (WAC),27,55,48.2
Purdue Fort Wayne (Summit League),30,62,48.1
Michigan St. (Big Ten),27,57,48
Lipscomb (ASUN),29,60,48
Boston U. (Patriot),28,58,47.9
Creighton (Big East),28,58,47.9
Colgate (Patriot),27,57,47.9
Duke (ACC),30,64,47.8
Northern Ky. (Horizon),28,59,47.8
Kentucky (SEC),26,55,47.7
Colorado St. (Mountain West),27,57,47.6
Northeastern (CAA),26,54,47.6
Iowa St. (Big 12),28,58,47.6
Weber St. (Big Sky),28,59,47.6
Omaha (Summit League),30,62,47.5
Fairleigh Dickinson (NEC),26,55,47.5
American (Patriot),26,55,47.4
William & Mary (CAA),27,57,47.4
Furman (SoCon),28,59,47.4
Virginia (ACC),26,54,47.4
UMass Lowell (America East),27,58,47.2
Austin Peay (OVC),29,62,47.2
Mississippi St. (SEC),28,58,47.2
Samford (SoCon),28,59,47.2
Saint Mary's (CA) (WCC),26,56,47.2
Richmond (Atlantic 10),26,55,47.2
Northern Ill. (MAC),28,59,47.1
DePaul (Big East),28,60,47.1
Utah St. (Mountain West),27,58,47
Virginia Tech (ACC),26,54,47
Ball St. (MAC),27,57,47
Abilene Christian (Southland),26,56,46.9
Texas Tech (Big 12),26,56,46.9
Boise St. (Mountain West),26,55,46.9
BYU (WCC),27,59,46.8
Drake (MVC),27,57,46.7
San Francisco (WCC),28,60,46.7
Xavier (Big East),26,56,46.6
Southern Ill. (MVC),25,54,46.6
Southern Miss. (C-USA),27,58,46.6
UIW (Southland),23,49,46.6
Kansas (Big 12),27,59,46.5
UCF (AAC),25,53,46.5
Oakland (Horizon),26,56,46.4
North Dakota (Summit League),27,59,46.4
Utah (Pac-12),26,56,46.4
North Carolina (ACC),31,67,46.4
Oregon St. (Pac-12),26,56,46.3
Holy Cross (Patriot),26,56,46.2
Nevada (Mountain West),27,59,46.2
Jacksonville St. (OVC),29,62,46.2
Northern Colo. (Big Sky),27,57,46.2
Buffalo (MAC),30,65,46.2
Radford (Big South),27,59,46.1
South Alabama (Sun Belt),26,55,46
CSUN (Big West),28,62,46
Drexel (CAA),27,59,46
Harvard (Ivy League),25,55,46
New Mexico St. (WAC),27,60,46
Ole Miss (SEC),27,58,46
Southern California (Pac-12),28,62,46
Sacred Heart (NEC),28,60,46
UIC (Horizon),27,59,45.9
N.C. A&T (MEAC),26,56,45.9
Delaware (CAA),25,55,45.9
Georgia St. (Sun Belt),27,58,45.9
Loyola Maryland (Patriot),26,57,45.9
Green Bay (Horizon),29,64,45.8
Vermont (America East),25,56,45.8
NC State (ACC),29,64,45.8
Indiana (Big Ten),26,57,45.7
UC Irvine (Big West),27,58,45.7
LSU (SEC),28,62,45.7
UCLA (Pac-12),28,61,45.7
TCU (Big 12),27,59,45.7
San Diego (WCC),25,56,45.7
UNC Greensboro (SoCon),28,61,45.7
Lamar University (Southland),27,60,45.6
Houston Baptist (Southland),29,63,45.6
Montana St. (Big Sky),27,59,45.6
Oral Roberts (Summit League),27,59,45.6
Iowa (Big Ten),26,57,45.6
Texas Southern (SWAC),29,63,45.5
Hartford (America East),26,56,45.5
Winthrop (Big South),29,63,45.5
Central Mich. (MAC),28,62,45.5
Jacksonville (ASUN),28,61,45.5
Campbell (Big South),26,58,45.5
N.C. Central (MEAC),26,57,45.5
ULM (Sun Belt),26,58,45.4
Cal St. Fullerton (Big West),26,56,45.4
Western Caro. (SoCon),25,55,45.4
App State (Sun Belt),28,61,45.4
Fresno St. (Mountain West),26,58,45.4
LMU (CA) (WCC),24,53,45.4
Colorado (Pac-12),26,57,45.4
North Dakota St. (Summit League),25,55,45.4
Penn (Ivy League),26,58,45.4
UC Santa Barbara (Big West),26,57,45.4
Marquette (Big East),26,58,45.4
McNeese (Southland),25,54,45.3
Stanford (Pac-12),26,58,45.3
FGCU (ASUN),25,56,45.3
Coastal Carolina (Sun Belt),26,58,45.3
Columbia (Ivy League),28,61,45.2
UAB (C-USA),26,57,45.2
Toledo (MAC),27,60,45.2
IUPUI (Horizon),27,60,45.2
Dartmouth (Ivy League),26,58,45.2
Grand Canyon (WAC),27,59,45.2
Memphis (AAC),28,62,45.2
Grambling (SWAC),25,54,45.2
Iona (MAAC),26,57,45.2
Air Force (Mountain West),25,56,45.2
Missouri St. (MVC),24,54,45.2
Washington (Pac-12),25,54,45.1
Hawaii (Big West),25,56,45.1
Purdue (Big Ten),27,60,45.1
Mercer (SoCon),25,56,45.1
Oregon (Pac-12),25,56,45.1
Davidson (Atlantic 10),25,56,45
Valparaiso (MVC),24,54,45
Auburn (SEC),27,61,45
Bucknell (Patriot),26,58,45
Troy (Sun Belt),26,57,45
St. John's (NY) (Big East),28,62,45
Maryland (Big Ten),25,56,44.9
Wisconsin (Big Ten),26,57,44.9
Presbyterian (Big South),27,60,44.9
Lafayette (Patriot),27,60,44.9
Eastern Mich. (MAC),26,57,44.9
Marist (MAAC),24,53,44.9
Clemson (ACC),25,55,44.9
Tulsa (AAC),24,54,44.8
North Florida (ASUN),27,61,44.8
Sacramento St. (Big Sky),26,58,44.8
Michigan (Big Ten),25,57,44.8
Washington St. (Pac-12),26,58,44.8
Rider (MAAC),27,61,44.7
Idaho St. (Big Sky),26,58,44.7
Oklahoma (Big 12),26,58,44.7
The Citadel (SoCon),30,67,44.7
Arizona St. (Pac-12),26,59,44.7
Western Ky. (C-USA),25,56,44.7
UConn (AAC),26,59,44.6
UT Martin (OVC),28,62,44.6
Houston (AAC),27,60,44.6
Arkansas (SEC),26,59,44.6
Butler (Big East),26,59,44.5
George Mason (Atlantic 10),25,56,44.5
Louisiana (Sun Belt),28,63,44.5
Santa Clara (WCC),24,53,44.5
Texas St. (Sun Belt),26,58,44.4
New Orleans (Southland),26,59,44.4
High Point (Big South),25,55,44.4
Pepperdine (WCC),25,57,44.4
NJIT (ASUN),24,55,44.4
Georgetown (Big East),27,61,44.3
UC Riverside (Big West),24,54,44.3
UNCW (CAA),27,60,44.3
Chattanooga (SoCon),26,59,44.3
Bowling Green (MAC),28,63,44.3
Brown (Ivy League),25,57,44.3
Marshall (C-USA),28,64,44.2
Cornell (Ivy League),24,55,44.2
Florida St. (ACC),26,59,44.2
SMU (AAC),26,59,44.2
Sam Houston (Southland),27,61,44.2
Baylor (Big 12),26,58,44.2
James Madison (CAA),25,56,44.2
Southern Utah (Big Sky),26,59,44.1
Massachusetts (Atlantic 10),25,57,44.1
Idaho (Big Sky),24,55,44.1
Southeastern La. (Southland),23,53,44.1
Georgia (SEC),24,55,44.1
Georgia Tech (ACC),24,54,44
FIU (C-USA),29,66,44
Indiana St. (MVC),24,55,44
Alabama (SEC),25,57,44
Southeast Mo. St. (OVC),26,58,44
Western Ill. (Summit League),26,60,44
Southern U. (SWAC),24,53,44
Seton Hall (Big East),26,59,43.9
UC Davis (Big West),24,54,43.9
SFA (Southland),25,57,43.9
Bethune-Cookman (MEAC),27,61,43.8
Florida A&M (MEAC),23,53,43.8
Denver (Summit League),25,57,43.8
Prairie View (SWAC),26,59,43.8
South Dakota (Summit League),24,55,43.8
Seattle U (WAC),26,59,43.8
VCU (Atlantic 10),25,57,43.8
Villanova (Big East),25,56,43.8
Texas A&M (SEC),25,58,43.7
LIU (NEC),26,59,43.7
Temple (AAC),26,61,43.7
Ohio (MAC),26,59,43.7
Wright St. (Horizon),25,58,43.6
Elon (CAA),25,58,43.6
Louisiana Tech (C-USA),25,58,43.6
Cleveland St. (Horizon),26,59,43.6
San Diego St. (Mountain West),25,57,43.6
