Team,FTPG,FTAPG,FT%
UIW (Southland),14.45,17.84,81
Hofstra (CAA),17.57,21.91,80.2
Hampton (Big South),17.77,22.57,78.7
Ole Miss (SEC),13.97,17.85,78.3
Central Conn. St. (NEC),16.00,20.45,78.2
ULM (Sun Belt),16.46,21.06,78.2
South Dakota St. (Summit League),14.97,19.24,77.8
Louisville (ACC),15.71,20.21,77.7
North Dakota St. (Summit League),13.60,17.51,77.7
Liberty (ASUN),11.28,14.56,77.5
Lehigh (Patriot),15.48,20.00,77.4
Toledo (MAC),12.42,16.09,77.2
Nicholls (Southland),10.39,13.48,77
La Salle (Atlantic 10),12.71,16.52,77
Col. of Charleston (CAA),14.24,18.64,76.4
Gonzaga (WCC),16.27,21.38,76.1
Virginia Tech (ACC),13.17,17.31,76.1
Pepperdine (WCC),15.56,20.47,76
Campbell (Big South),13.58,17.88,75.9
Denver (Summit League),11.63,15.33,75.9
Lipscomb (ASUN),16.41,21.65,75.8
Drake (MVC),13.76,18.18,75.7
Marquette (Big East),15.41,20.35,75.7
Washington St. (Pac-12),13.31,17.63,75.5
Sacred Heart (NEC),17.03,22.56,75.5
Tennessee (SEC),15.16,20.11,75.4
UT Martin (OVC),12.84,17.03,75.4
Drexel (CAA),13.75,18.25,75.3
Michigan St. (Big Ten),14.46,19.21,75.3
Colorado (Pac-12),15.83,21.03,75.3
Sam Houston (Southland),11.82,15.70,75.3
LSU (SEC),17.23,22.91,75.2
Fla. Atlantic (C-USA),12.55,16.70,75.1
Saint Joseph's (Atlantic 10),14.00,18.64,75.1
Northeastern (CAA),14.00,18.65,75.1
Bucknell (Patriot),14.82,19.79,74.9
Davidson (Atlantic 10),11.56,15.44,74.9
Utah St. (Mountain West),15.97,21.34,74.8
Vermont (America East),14.91,19.94,74.8
San Diego (WCC),13.31,17.81,74.7
UNI (MVC),11.79,15.79,74.7
Milwaukee (Horizon),12.23,16.39,74.6
Weber St. (Big Sky),16.00,21.45,74.6
LMU (CA) (WCC),14.15,18.97,74.6
Iona (MAAC),15.79,21.18,74.5
Pacific (WCC),16.25,21.81,74.5
Albany (NY) (America East),13.13,17.63,74.5
Wagner (NEC),14.27,19.17,74.4
