Team,OPP FGPG,OPP FGAPG,OPP FG%
Houston (AAC),20,55,36.8
Texas Tech (Big 12),20,53,37
Michigan St. (Big Ten),23,61,38.1
UC Irvine (Big West),22,57,38.2
Virginia (ACC),20,53,38.5
VCU (Atlantic 10),21,55,38.7
Gonzaga (WCC),24,61,38.9
Grambling (SWAC),23,59,39
Old Dominion (C-USA),21,54,39.1
Utah St. (Mountain West),23,57,39.3
UCF (AAC),23,59,39.4
Stony Brook (America East),23,57,39.5
Akron (MAC),23,58,39.6
Maryland (Big Ten),23,59,39.7
Wisconsin (Big Ten),23,57,39.7
Michigan (Big Ten),22,56,39.7
Duke (ACC),25,64,39.8
Oregon (Pac-12),21,53,39.8
Kentucky (SEC),23,58,40
Georgia Tech (ACC),23,58,40
Syracuse (ACC),22,55,40.1
St. Bonaventure (Atlantic 10),22,55,40.2
Southern Miss. (C-USA),23,57,40.3
Tennessee (SEC),24,59,40.4
Marquette (Big East),24,59,40.5
Oklahoma (Big 12),25,62,40.6
North Texas (C-USA),22,54,40.7
Clemson (ACC),22,55,40.7
Florida St. (ACC),23,56,40.7
Louisville (ACC),24,59,40.8
Kansas (Big 12),25,61,40.8
Seattle U (WAC),24,58,40.8
Davidson (Atlantic 10),23,56,40.8
Virginia Tech (ACC),22,53,40.8
Norfolk St. (MEAC),23,56,40.9
Pittsburgh (ACC),24,58,40.9
Tulsa (AAC),25,61,40.9
San Diego St. (Mountain West),23,57,41
Saint Louis (Atlantic 10),22,54,41
A&M-Corpus Christi (Southland),22,53,41
Cincinnati (AAC),22,53,41
Nevada (Mountain West),24,58,41
Murray St. (OVC),25,61,41.1
Toledo (MAC),25,61,41.1
Fla. Atlantic (C-USA),24,59,41.1
Bradley (MVC),22,54,41.2
Texas St. (Sun Belt),22,53,41.2
Yale (Ivy League),26,63,41.2
Arizona St. (Pac-12),24,59,41.3
Jacksonville St. (OVC),24,59,41.3
Bethune-Cookman (MEAC),25,61,41.3
Dayton (Atlantic 10),24,59,41.4
UAB (C-USA),23,56,41.4
Ball St. (MAC),26,62,41.4
Wichita St. (AAC),23,56,41.5
Gardner-Webb (Big South),25,60,41.5
Kansas St. (Big 12),21,51,41.5
Washington (Pac-12),23,54,41.6
North Carolina (ACC),26,62,41.6
Purdue (Big Ten),23,55,41.6
Brown (Ivy League),25,59,41.7
Liberty (ASUN),22,53,41.7
Lipscomb (ASUN),25,60,41.7
Longwood (Big South),24,57,41.7
Samford (SoCon),26,63,41.8
Iowa St. (Big 12),25,60,41.8
UMBC (America East),22,52,41.8
UIC (Horizon),25,59,41.9
Vermont (America East),23,54,41.9
South Dakota St. (Summit League),26,63,41.9
Indiana (Big Ten),25,59,41.9
Western Ky. (C-USA),25,60,41.9
New Mexico St. (WAC),23,54,41.9
Furman (SoCon),25,59,41.9
Monmouth (MAAC),23,54,41.9
Fresno St. (Mountain West),23,56,41.9
Boston College (ACC),26,61,41.9
Northern Ky. (Horizon),24,57,42
Northwestern (Big Ten),23,55,42
LMU (CA) (WCC),21,50,42
Buffalo (MAC),25,61,42
UTEP (C-USA),24,58,42.1
Florida (SEC),22,53,42.1
Nebraska (Big Ten),24,58,42.1
Jackson St. (SWAC),22,52,42.1
South Fla. (AAC),23,54,42.1
Ohio St. (Big Ten),23,55,42.2
High Point (Big South),24,57,42.2
Texas A&M (SEC),26,61,42.2
UT Arlington (Sun Belt),24,57,42.3
Memphis (AAC),25,60,42.3
South Carolina (SEC),24,57,42.3
Texas (Big 12),24,56,42.3
LIU (NEC),26,61,42.3
Arkansas (SEC),24,57,42.4
Belmont (OVC),27,64,42.4
UCLA (Pac-12),28,66,42.4
Colorado (Pac-12),24,58,42.4
Rutgers (Big Ten),24,57,42.5
Wofford (SoCon),23,55,42.5
Georgia St. (Sun Belt),26,60,42.5
Hampton (Big South),26,62,42.5
Baylor (Big 12),23,55,42.5
Utah Valley (WAC),25,60,42.5
Rhode Island (Atlantic 10),23,55,42.6
Cal St. Fullerton (Big West),25,60,42.6
Georgia (SEC),27,63,42.6
Bowling Green (MAC),26,61,42.6
N.C. A&T (MEAC),25,58,42.6
Southern California (Pac-12),26,62,42.6
UC Santa Barbara (Big West),24,56,42.6
Southern Ill. (MVC),24,57,42.7
Drake (MVC),26,60,42.7
Louisiana Tech (C-USA),24,57,42.7
NJIT (ASUN),25,58,42.7
UTSA (C-USA),26,62,42.8
SMU (AAC),25,58,42.8
Florida A&M (MEAC),23,53,42.8
Seton Hall (Big East),25,58,42.8
Oklahoma St. (Big 12),25,58,42.8
Weber St. (Big Sky),27,63,42.8
Charleston So. (Big South),24,57,42.9
Coppin St. (MEAC),26,61,42.9
TCU (Big 12),26,60,42.9
Notre Dame (ACC),26,61,42.9
Missouri (SEC),23,54,42.9
Eastern Mich. (MAC),25,57,43
Wagner (NEC),22,51,43
Southern Utah (Big Sky),26,60,43
Lehigh (Patriot),27,63,43
St. Francis Brooklyn (NEC),24,57,43
Xavier (Big East),26,59,43.2
Stanford (Pac-12),26,61,43.2
LSU (SEC),26,60,43.2
Santa Clara (WCC),25,57,43.2
Princeton (Ivy League),25,59,43.2
Middle Tenn. (C-USA),25,58,43.2
