Team,RPG,OPP RPG,REB MAR
North Carolina (ACC),43.8,33.4,10.4
ETSU (SoCon),39.7,29.6,10.1
New Mexico St. (WAC),38.4,28.7,9.7
Kentucky (SEC),38.5,29.2,9.4
Michigan St. (Big Ten),40.5,31.7,8.8
Utah St. (Mountain West),40.1,31.3,8.8
Maryland (Big Ten),39.3,30.9,8.4
Houston (AAC),40.6,33.4,7.2
UC Irvine (Big West),39.9,33,7
Portland St. (Big Sky),40,33.1,7
High Point (Big South),38.2,31.3,6.9
Lamar University (Southland),38.8,32.1,6.8
Gonzaga (WCC),39,32.2,6.8
South Fla. (AAC),39,32.3,6.7
UC Santa Barbara (Big West),37.9,31.3,6.6
N.C. Central (MEAC),37.4,30.8,6.6
Saint Louis (Atlantic 10),39.6,33.1,6.5
Jacksonville St. (OVC),39.7,33.3,6.4
Stony Brook (America East),40.8,34.5,6.3
Colorado (Pac-12),37.6,31.3,6.3
Texas St. (Sun Belt),38,31.9,6.1
Duke (ACC),41.2,35.4,5.8
Wofford (SoCon),35,29.3,5.8
Baylor (Big 12),37.5,31.8,5.7
Saint Mary's (CA) (WCC),34.7,29.2,5.4
Bowling Green (MAC),41.1,35.7,5.3
Winthrop (Big South),41,35.8,5.3
DePaul (Big East),37.4,32.2,5.2
Purdue (Big Ten),37.2,32,5.1
Virginia (ACC),34.8,29.7,5.1
Cincinnati (AAC),36.1,31.1,5
Towson (CAA),36.9,31.9,5
UNLV (Mountain West),38.8,33.9,4.9
CSU Bakersfield (WAC),37.4,32.5,4.9
South Dakota St. (Summit League),38.2,33.4,4.7
Old Dominion (C-USA),39,34.3,4.7
West Virginia (Big 12),39.6,35,4.6
North Texas (C-USA),37.8,33.2,4.6
IUPUI (Horizon),37.4,32.8,4.6
Xavier (Big East),36.7,32.1,4.6
Florida St. (ACC),37.6,33.1,4.5
Harvard (Ivy League),36.1,31.6,4.5
Northern Ky. (Horizon),37.1,32.6,4.5
Marquette (Big East),38.2,33.8,4.5
LSU (SEC),38.7,34.3,4.5
Sacred Heart (NEC),38.5,34.1,4.4
NC State (ACC),38.5,34.2,4.3
Yale (Ivy League),38.6,34.3,4.3
Vermont (America East),35.1,30.9,4.2
Rutgers (Big Ten),39,34.9,4.2
UCLA (Pac-12),41.1,36.9,4.2
Utah Valley (WAC),36.2,32.1,4.1
Lipscomb (ASUN),37.2,33.3,4
Arizona St. (Pac-12),39.6,35.6,4
Coastal Carolina (Sun Belt),36.9,33.1,3.9
Buffalo (MAC),40.8,37,3.8
Missouri (SEC),35.3,31.5,3.8
UAB (C-USA),36.6,32.8,3.8
Mississippi St. (SEC),35.7,31.9,3.8
Toledo (MAC),38.9,35.2,3.8
Colgate (Patriot),35.4,31.7,3.7
Radford (Big South),35.4,31.8,3.6
Fla. Atlantic (C-USA),39.2,35.7,3.6
A&M-Corpus Christi (Southland),36.2,32.7,3.6
Louisville (ACC),38.1,34.6,3.6
Navy (Patriot),37.4,34,3.5
Middle Tenn. (C-USA),38.4,34.9,3.4
UNCW (CAA),37,33.7,3.4
Bethune-Cookman (MEAC),41.1,37.7,3.4
Clemson (ACC),35.5,32.1,3.4
Belmont (OVC),38.6,35.3,3.3
Wake Forest (ACC),37.9,34.6,3.3
Tennessee (SEC),37.6,34.3,3.3
Houston Baptist (Southland),38.1,34.9,3.2
Kansas (Big 12),38.3,35.1,3.2
