Team,PPG,OPP PPG,SCR MAR
Gonzaga (WCC),87.6,64.9,22.8
Wofford (SoCon),82.3,65.6,16.7
Virginia (ACC),71.4,56.1,15.3
Duke (ACC),82.7,67.8,14.9
Murray St. (OVC),82.6,68.3,14.3
Houston (AAC),75.3,61,14.3
New Mexico St. (WAC),78.1,64.5,13.6
Buffalo (MAC),84.4,70.8,13.5
Nevada (Mountain West),80.1,66.7,13.4
Texas Tech (Big 12),72.8,59.5,13.3
Belmont (OVC),86.9,73.9,13
Lipscomb (ASUN),83.1,70.2,12.9
North Carolina (ACC),85.8,73.2,12.6
Michigan St. (Big Ten),77.6,65,12.6
Liberty (ASUN),73.7,61.4,12.4
Tennessee (SEC),82,69.7,12.3
Furman (SoCon),77.6,66.1,11.5
Utah St. (Mountain West),78.6,67.1,11.5
Virginia Tech (ACC),73.5,62.1,11.5
Michigan (Big Ten),69.6,58.3,11.3
Kentucky (SEC),75.8,64.7,11.1
South Dakota St. (Summit League),84.5,73.5,11
Auburn (SEC),79.7,68.8,11
Vermont (America East),73.8,63,10.7
Hofstra (CAA),83.4,72.9,10.5
Abilene Christian (Southland),73.6,63.6,10
ETSU (SoCon),79.6,69.7,9.9
Northern Ky. (Horizon),78.5,68.9,9.6
Purdue (Big Ten),76.7,67.3,9.4
VCU (Atlantic 10),71,61.9,9.1
Austin Peay (OVC),82.2,73.1,9.1
Cincinnati (AAC),71.7,62.7,9
Fresno St. (Mountain West),76.5,67.6,8.9
Jacksonville St. (OVC),78,69.2,8.8
Iowa St. (Big 12),76.9,68.1,8.8
NC State (ACC),80.1,71.3,8.7
UC Irvine (Big West),72.3,63.6,8.7
Toledo (MAC),76.9,68.4,8.5
Lamar University (Southland),78.7,70.4,8.3
San Francisco (WCC),76.1,67.8,8.3
UNC Greensboro (SoCon),76.1,67.9,8.2
Saint Mary's (CA) (WCC),72.4,64.3,8.2
Marquette (Big East),77.3,69.5,7.8
Texas St. (Sun Belt),72.6,64.8,7.8
Oregon (Pac-12),70,62.2,7.8
UCF (AAC),72.3,64.5,7.8
Florida St. (ACC),74.9,67.2,7.7
Montana (Big Sky),76.1,68.5,7.7
Yale (Ivy League),80.9,73.4,7.5
