Team,Games,W,L,Pct
Virginia (ACC),38,35,3,92.1
Gonzaga (WCC),37,33,4,89.2
Houston (AAC),37,33,4,89.2
Buffalo (MAC),36,32,4,88.9
Wofford (SoCon),35,30,5,85.7
New Mexico St. (WAC),35,30,5,85.7
Nevada (Mountain West),34,29,5,85.3
Murray St. (OVC),33,28,5,84.8
Duke (ACC),38,32,6,84.2
UC Irvine (Big West),37,31,6,83.8
Tennessee (SEC),37,31,6,83.8
Michigan St. (Big Ten),39,32,7,82.1
Belmont (OVC),33,27,6,81.8
Texas Tech (Big 12),38,31,7,81.6
Michigan (Big Ten),37,30,7,81.1
Kentucky (SEC),37,30,7,81.1
North Carolina (ACC),36,29,7,80.6
Liberty (ASUN),36,29,7,80.6
UNC Greensboro (SoCon),36,29,7,80.6
Cincinnati (AAC),35,28,7,80
LSU (SEC),35,28,7,80
Utah St. (Mountain West),35,28,7,80
Abilene Christian (Southland),34,27,7,79.4
Vermont (America East),34,27,7,79.4
Florida St. (ACC),37,29,8,78.4
Lipscomb (ASUN),37,29,8,78.4
Hofstra (CAA),35,27,8,77.1
Toledo (MAC),33,25,8,75.8
VCU (Atlantic 10),33,25,8,75.8
Furman (SoCon),33,25,8,75.8
Auburn (SEC),40,30,10,75
Washington (Pac-12),36,27,9,75
Old Dominion (C-USA),35,26,9,74.3
Virginia Tech (ACC),35,26,9,74.3
Montana (Big Sky),35,26,9,74.3
Northern Ky. (Horizon),35,26,9,74.3
Kansas St. (Big 12),34,25,9,73.5
Yale (Ivy League),30,22,8,73.3
Col. of Charleston (CAA),33,24,9,72.7
Jacksonville St. (OVC),33,24,9,72.7
Stony Brook (America East),33,24,9,72.7
UCF (AAC),33,24,9,72.7
South Dakota St. (Summit League),33,24,9,72.7
Kansas (Big 12),36,26,10,72.2
Purdue (Big Ten),36,26,10,72.2
Villanova (Big East),36,26,10,72.2
Fresno St. (Mountain West),32,23,9,71.9
Utah Valley (WAC),35,25,10,71.4
Texas St. (Sun Belt),34,24,10,70.6
Marquette (Big East),34,24,10,70.6
Georgia St. (Sun Belt),34,24,10,70.6
Drake (MVC),34,24,10,70.6
Davidson (Atlantic 10),34,24,10,70.6
ETSU (SoCon),34,24,10,70.6
Temple (AAC),33,23,10,69.7
UC Santa Barbara (Big West),32,22,10,68.8
