Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2021,Gonzaga (WCC),False,2.0,1.0,Automatic,1.0,96.9,21.3,6.8,54.9,73.1,36.8,42.2,32.7,1.56
2021,Baylor (Big 12),True,1.0,1.0,At-Large,2.0,93.3,17.4,4.3,48.6,70.8,41.3,43.3,32.9,1.47
2021,Winthrop (Big South),False,64.0,12.0,Automatic,49.0,92.0,11.8,8.7,45.7,68.8,35.2,43.1,32.4,1.07
2021,Houston (AAC),False,4.0,2.0,Automatic,8.0,87.5,17.8,9.0,43.5,73.1,35.4,37.8,29.0,1.31
2021,Colgate (Patriot),False,64.0,14.0,Automatic,57.0,87.5,15.6,4.8,49.3,72.3,40.3,41.0,26.4,1.63
2021,Belmont (OVC),False,DNP,DNP,DNP,DNP,86.7,12.2,0.6,48.9,73.8,34.4,42.6,33.8,1.52
2021,Drake (MVC),False,64.0,11.0,At-Large,48.0,83.9,11.5,4.9,48.3,71.3,36.7,42.2,31.2,1.32
2021,Loyola Chicago (MVC),False,16.0,8.0,Automatic,30.0,83.9,15.0,5.0,49.8,71.9,36.5,41.3,32.6,1.35
2021,Southern Utah (Big Sky),False,DNP,DNP,DNP,DNP,83.3,14.7,7.9,47.4,74.8,34.1,42.5,32.8,1.17
2021,Navy (Patriot),False,DNP,DNP,DNP,DNP,83.3,4.5,3.3,44.7,70.9,32.6,45.9,33.6,1.0
2021,Abilene Christian (Southland),False,32.0,14.0,Automatic,55.0,82.8,15.3,2.1,44.9,67.8,34.4,40.4,31.0,1.3
2021,Michigan (Big Ten),True,8.0,1.0,At-Large,4.0,82.1,10.7,6.5,48.2,76.9,38.1,39.3,32.2,1.41
2021,San Diego St. (Mountain West),False,64.0,6.0,Automatic,24.0,82.1,12.5,3.9,45.1,71.9,36.9,39.2,33.6,1.26
2021,UC Santa Barbara (Big West),False,64.0,12.0,Automatic,50.0,81.5,13.1,5.5,48.2,75.1,34.7,42.1,33.1,1.49
2021,Liberty (ASUN),False,64.0,13.0,Automatic,53.0,79.3,14.4,3.7,48.7,77.7,39.0,40.9,30.8,1.58
2021,Alabama (SEC),True,16.0,2.0,Automatic,5.0,78.8,9.6,2.7,43.5,70.8,35.2,40.8,29.1,1.01
2021,Arkansas (SEC),True,8.0,3.0,At-Large,9.0,78.1,10.6,4.0,45.1,74.0,33.2,41.5,33.6,1.13
