Rank,Team,3FGPG,3FGAPG,3FG%
1,Baylor (Big 12),9.97,24.13,41.3
2,South Dakota St. (Summit League),8.04,19.91,40.4
3,Colgate (Patriot),9.25,22.94,40.3
4,Purdue Fort Wayne (Horizon),8.87,22.17,40
5,Detroit Mercy (Horizon),10.23,26.14,39.1
6,Liberty (ASUN),10.24,26.24,39
7,South Dakota (Summit League),7.44,19.12,38.9
8,Weber St. (Big Sky),8.39,21.57,38.9
9,McNeese (Southland),8.50,21.92,38.8
10,Iowa (Big Ten),9.71,25.16,38.6
11,Cal St. Fullerton (Big West),8.19,21.31,38.4
12,Arkansas St. (Sun Belt),6.42,16.75,38.3
13,Bryant (NEC),9.45,24.82,38.1
14,Michigan (Big Ten),7.36,19.32,38.1
15,Oral Roberts (Summit League),11.14,29.31,38
16,Fla. Atlantic (C-USA),9.70,25.52,38
17,Texas St. (Sun Belt),5.56,14.64,38
18,VMI (SoCon),10.80,28.44,38
19,American (Patriot),9.00,23.80,37.8
20,Northern Colo. (Big Sky),9.05,24.00,37.7
21,Oregon (Pac-12),8.36,22.18,37.7
22,Evansville (MVC),9.60,25.48,37.7
23,Florida St. (ACC),7.68,20.40,37.6
24,Fairleigh Dickinson (NEC),8.08,21.54,37.5
25,Southern Ill. (MVC),8.08,21.54,37.5
25,Campbell (Big South),7.22,19.26,37.5
27,North Texas (C-USA),7.64,20.39,37.5
28,Virginia (ACC),8.48,22.64,37.5
29,Col. of Charleston (CAA),8.32,22.21,37.4
30,UIW (Southland),7.64,20.41,37.4
31,Illinois (Big Ten),6.55,17.55,37.3
32,BYU (WCC),8.74,23.44,37.3
33,Toledo (MAC),10.47,28.10,37.2
34,Colorado (Pac-12),7.69,20.66,37.2
35,Dayton (Atlantic 10),8.00,21.50,37.2
36,UCLA (Pac-12),6.81,18.31,37.2
37,Arizona (Pac-12),6.69,18.00,37.2
38,Mercer (SoCon),8.62,23.21,37.1
39,UC Riverside (Big West),9.14,24.64,37.1
40,Drexel (CAA),7.25,19.55,37.1
41,Wright St. (Horizon),7.46,20.17,37
42,Stetson (ASUN),9.11,24.70,36.9
43,San Diego St. (Mountain West),8.57,23.25,36.9
44,Gonzaga (WCC),7.50,20.38,36.8
45,Murray St. (OVC),8.15,22.15,36.8
46,Notre Dame (ACC),9.08,24.69,36.8
47,Norfolk St. (MEAC),7.76,21.12,36.7
48,Sacramento St. (Big Sky),6.65,18.10,36.7
49,Drake (MVC),7.03,19.16,36.7
50,North Florida (ASUN),9.96,27.17,36.6
51,Kansas City (Summit League),6.21,16.96,36.6
52,Georgetown (Big East),8.31,22.77,36.5
53,Miami (OH) (MAC),8.57,23.48,36.5
54,Loyola Chicago (MVC),7.13,19.55,36.5
55,Wisconsin (Big Ten),8.68,23.81,36.4
56,West Virginia (Big 12),7.45,20.45,36.4
57,Davidson (Atlantic 10),9.82,27.00,36.4
58,Memphis (AAC),7.79,21.43,36.3
59,Central Ark. (Southland),7.08,19.50,36.3
60,Monmouth (MAAC),7.70,21.20,36.3
61,Montana (Big Sky),5.50,15.18,36.2
62,South Alabama (Sun Belt),9.14,25.25,36.2
63,Creighton (Big East),9.45,26.16,36.1
64,Gardner-Webb (Big South),8.92,24.73,36.1
65,Robert Morris (Horizon),7.47,20.74,36
66,Lafayette (Patriot),8.60,23.87,36
67,Southern California (Pac-12),6.48,18.00,36
68,Ohio St. (Big Ten),8.13,22.58,36
69,NC State (ACC),6.68,18.56,36
70,Marshall (C-USA),9.27,25.77,36
71,Hawaii (Big West),7.81,21.71,36
72,Chattanooga (SoCon),8.38,23.35,35.9
73,Long Beach St. (Big West),7.06,19.67,35.9
74,Eastern Ky. (OVC),9.62,26.83,35.9
75,Georgia St. (Sun Belt),8.09,22.59,35.8
76,UNC Asheville (Big South),8.05,22.50,35.8
77,Coastal Carolina (Sun Belt),8.50,23.77,35.8
78,Rice (C-USA),10.21,28.57,35.8
79,Richmond (Atlantic 10),7.52,21.04,35.7
80,Maryland (Big Ten),8.16,22.84,35.7
81,Sam Houston (Southland),9.11,25.54,35.7
82,UT Arlington (Sun Belt),9.04,25.35,35.7
83,Oregon St. (Pac-12),6.97,19.55,35.7
84,Wyoming (Mountain West),10.04,28.16,35.7
85,Morehead St. (OVC),6.68,18.74,35.6
86,Texas (Big 12),8.59,24.15,35.6
87,Florida (SEC),6.76,19.00,35.6
88,The Citadel (SoCon),10.24,28.80,35.6
89,Jacksonville St. (OVC),8.11,22.81,35.6
90,Wofford (SoCon),10.25,28.83,35.5
91,Eastern Wash. (Big Sky),8.50,23.92,35.5
92,Utah (Pac-12),6.88,19.36,35.5
93,UCF (AAC),7.83,22.04,35.5
94,Nevada (Mountain West),7.73,21.81,35.4
95,Virginia Tech (ACC),8.18,23.09,35.4
