Rank,Team,AST,ASTPG,TO,TOPG,AST/TO Ratio
1,Iowa (Big Ten),594,19.16,294,9.48,2.02
2,Villanova (Big East),374,14.96,227,9.08,1.65
3,Colgate (Patriot),282,17.63,173,10.81,1.63
4,Liberty (ASUN),458,15.79,289,9.97,1.58
5,Xavier (Big East),369,17.57,235,11.19,1.57
6,Gonzaga (WCC),601,18.78,385,12.03,1.56
7,Belmont (OVC),547,18.23,361,12.03,1.52
8,Virginia (ACC),345,13.80,229,9.16,1.51
9,Lafayette (Patriot),243,16.20,163,10.87,1.49
10,UC Santa Barbara (Big West),438,16.22,294,10.89,1.49
11,Wisconsin (Big Ten),414,13.35,280,9.03,1.48
12,Baylor (Big 12),507,16.90,345,11.50,1.47
13,Ohio (MAC),436,17.44,301,12.04,1.45
14,Saint Louis (Atlantic 10),369,17.57,255,12.14,1.45
15,Toledo (MAC),480,16.00,332,11.07,1.45
16,Georgia St. (Sun Belt),369,16.77,256,11.64,1.44
17,Georgia Tech (ACC),412,15.85,290,11.15,1.42
18,Creighton (Big East),485,15.65,342,11.03,1.42
19,Notre Dame (ACC),387,14.88,275,10.58,1.41
20,Davidson (Atlantic 10),332,15.09,236,10.73,1.41
21,Michigan (Big Ten),443,15.82,315,11.25,1.41
22,St. Bonaventure (Atlantic 10),306,14.57,225,10.71,1.36
23,Richmond (Atlantic 10),327,14.22,241,10.48,1.36
24,Loyola Chicago (MVC),490,15.81,364,11.74,1.35
25,Furman (SoCon),416,16.64,313,12.52,1.33
26,Marshall (C-USA),349,15.86,263,11.95,1.33
27,Drake (MVC),423,13.65,320,10.32,1.32
28,Syracuse (ACC),419,14.96,317,11.32,1.32
29,Eastern Wash. (Big Sky),365,15.21,277,11.54,1.32
30,Green Bay (Horizon),352,14.08,269,10.76,1.31
31,Houston (AAC),446,13.94,341,10.66,1.31
32,Arizona (Pac-12),403,15.50,309,11.88,1.30
33,South Dakota (Summit League),349,13.96,268,10.72,1.30
34,Abilene Christian (Southland),513,17.69,394,13.59,1.30
35,UCLA (Pac-12),437,13.66,338,10.56,1.29
36,St. John's (NY) (Big East),440,16.30,341,12.63,1.29
37,Mercer (SoCon),479,16.52,373,12.86,1.28
38,The Citadel (SoCon),389,15.56,303,12.12,1.28
39,Bowling Green (MAC),328,12.62,256,9.85,1.28
40,Duke (ACC),390,16.25,307,12.79,1.27
41,UTSA (C-USA),383,14.73,302,11.62,1.27
42,Grand Canyon (WAC),390,16.25,308,12.83,1.27
43,San Diego St. (Mountain West),392,14.00,310,11.07,1.26
44,East Carolina (AAC),303,15.95,240,12.63,1.26
45,Sacramento St. (Big Sky),255,12.75,202,10.10,1.26
46,Illinois (Big Ten),506,16.32,403,13.00,1.26
47,Murray St. (OVC),435,16.73,347,13.35,1.25
48,Oregon St. (Pac-12),480,14.55,383,11.61,1.25
49,VMI (SoCon),393,15.72,314,12.56,1.25
50,Detroit Mercy (Horizon),315,14.32,253,11.50,1.25
51,Wyoming (Mountain West),351,14.04,282,11.28,1.24
52,Pepperdine (WCC),440,16.30,354,13.11,1.24
53,Northwestern (Big Ten),352,14.67,284,11.83,1.24
54,Eastern Ky. (OVC),461,15.90,372,12.83,1.24
55,Massachusetts (Atlantic 10),224,14.93,181,12.07,1.24
56,Ohio St. (Big Ten),406,13.10,329,10.61,1.23
57,McNeese (Southland),443,18.46,359,14.96,1.23
58,Minnesota (Big Ten),399,13.76,324,11.17,1.23
59,Virginia Tech (ACC),313,14.23,255,11.59,1.23
60,BYU (WCC),436,16.15,356,13.19,1.22
61,Michigan St. (Big Ten),444,15.86,364,13.00,1.22
62,Oregon (Pac-12),389,13.89,319,11.39,1.22
63,Oklahoma (Big 12),360,13.33,296,10.96,1.22
64,Texas Tech (Big 12),380,13.10,313,10.79,1.21
65,Maryland (Big Ten),415,13.39,343,11.06,1.21
66,Utah (Pac-12),378,15.12,314,12.56,1.20
67,Weber St. (Big Sky),345,15.00,288,12.52,1.20
68,Colorado (Pac-12),436,13.63,364,11.38,1.20
69,Rutgers (Big Ten),384,13.71,321,11.46,1.20
70,Arizona St. (Pac-12),327,13.08,274,10.96,1.19
71,Tennessee (SEC),401,14.85,338,12.52,1.19
72,Niagara (MAAC),236,11.80,199,9.95,1.19
73,Campbell (Big South),387,14.33,327,12.11,1.18
74,St. Francis Brooklyn (NEC),271,14.26,229,12.05,1.18
75,Kansas City (Summit League),355,14.79,300,12.50,1.18
76,Robert Morris (Horizon),299,15.74,254,13.37,1.18
77,Penn St. (Big Ten),335,13.40,285,11.40,1.18
78,Wright St. (Horizon),369,15.38,315,13.13,1.17
79,West Virginia (Big 12),407,14.03,348,12.00,1.17
80,Drexel (CAA),298,14.90,255,12.75,1.17
81,Milwaukee (Horizon),285,12.95,244,11.09,1.17
82,Indiana (Big Ten),376,13.93,322,11.93,1.17
83,UC Riverside (Big West),308,14.00,264,12.00,1.17
84,Southern Utah (Big Sky),338,14.08,290,12.08,1.17
85,Utah St. (Mountain West),469,16.17,403,13.90,1.16
86,Wichita St. (AAC),286,13.00,246,11.18,1.16
87,Kansas (Big 12),415,13.83,359,11.97,1.16
88,South Dakota St. (Summit League),327,14.22,283,12.30,1.16
89,Pittsburgh (ACC),321,14.59,278,12.64,1.15
90,Vermont (America East),211,14.07,183,12.20,1.15
91,Army West Point (Patriot),317,14.41,275,12.50,1.15
92,Boise St. (Mountain West),378,13.50,328,11.71,1.15
93,Prairie View (SWAC),333,15.86,289,13.76,1.15
94,Wofford (SoCon),351,14.63,306,12.75,1.15
95,Buffalo (MAC),397,15.88,347,13.88,1.14
96,Providence (Big East),350,13.46,306,11.77,1.14
97,UT Arlington (Sun Belt),356,13.69,312,12.00,1.14
98,Purdue (Big Ten),399,14.25,350,12.50,1.14
99,Oakland (Horizon),444,14.80,390,13.00,1.14
100,James Madison (CAA),276,13.80,243,12.15,1.14
101,Southern Ill. (MVC),352,13.54,311,11.96,1.13
102,LIU (NEC),293,16.28,259,14.39,1.13
103,Arkansas (SEC),466,14.56,412,12.88,1.13
104,Nevada (Mountain West),374,14.38,331,12.73,1.13
105,Youngstown St. (Horizon),349,12.93,310,11.48,1.13
106,Akron (MAC),305,13.26,271,11.78,1.13
107,UNC Greensboro (SoCon),370,12.33,329,10.97,1.12
107,Utah Valley (WAC),370,16.82,329,14.95,1.12
109,CSUN (Big West),293,13.32,261,11.86,1.12
110,Southern California (Pac-12),458,13.88,408,12.36,1.12
111,Oral Roberts (Summit League),370,12.76,330,11.38,1.12
112,Lipscomb (ASUN),364,13.48,326,12.07,1.12
113,Miami (OH) (MAC),278,12.09,249,10.83,1.12
114,Gardner-Webb (Big South),339,13.04,304,11.69,1.12
115,UConn (Big East),297,12.91,268,11.65,1.11
116,Chattanooga (SoCon),319,12.27,288,11.08,1.11
117,Arkansas St. (Sun Belt),347,14.46,314,13.08,1.11
118,Bradley (MVC),382,13.64,346,12.36,1.10
119,SMU (AAC),260,15.29,238,14.00,1.09
120,UTEP (C-USA),285,11.88,262,10.92,1.09
121,UNCW (CAA),206,12.12,190,11.18,1.08
122,Sam Houston (Southland),435,15.54,402,14.36,1.08
123,CSU Bakersfield (Big West),365,14.04,338,13.00,1.08
124,Colorado St. (Mountain West),408,14.57,378,13.50,1.08
125,Pacific (WCC),233,12.94,216,12.00,1.08
