Rank,Team,FGMPG,FGAPG,FG%
1,Gonzaga (WCC),33.72,61.41,54.9
2,SFA (Southland),29.62,56.90,52.1
3,Weber St. (Big Sky),28.52,56.52,50.5
4,Purdue Fort Wayne (Horizon),27.43,54.74,50.1
5,Illinois (Big Ten),29.32,58.68,50
6,Loyola Chicago (MVC),25.94,52.06,49.8
7,South Dakota St. (Summit League),28.48,57.17,49.8
8,Murray St. (OVC),29.12,58.54,49.7
9,Kansas City (Summit League),26.75,53.83,49.7
10,Campbell (Big South),25.89,52.19,49.6
11,McNeese (Southland),29.92,60.67,49.3
12,Colgate (Patriot),30.94,62.81,49.3
13,Belmont (OVC),29.80,60.97,48.9
14,Grand Canyon (WAC),28.17,57.67,48.8
15,Liberty (ASUN),26.97,55.34,48.7
16,Furman (SoCon),29.20,59.96,48.7
17,Baylor (Big 12),30.57,62.87,48.6
18,Drake (MVC),29.29,60.58,48.3
19,Wright St. (Horizon),29.58,61.29,48.3
20,BYU (WCC),28.74,59.56,48.3
21,Michigan (Big Ten),27.54,57.07,48.2
22,UC Santa Barbara (Big West),27.37,56.81,48.2
23,Ohio (MAC),29.12,60.76,47.9
24,Mercer (SoCon),28.69,59.93,47.9
25,Missouri St. (MVC),26.54,55.50,47.8
26,Dayton (Atlantic 10),24.67,51.67,47.7
27,Georgia Tech (ACC),27.77,58.19,47.7
28,New Orleans (Southland),28.12,59.04,47.6
29,UNC Asheville (Big South),27.40,57.60,47.6
30,Utah Valley (WAC),26.91,56.64,47.5
31,Marshall (C-USA),29.82,62.82,47.5
32,Virginia (ACC),25.16,53.04,47.4
33,Florida St. (ACC),27.72,58.44,47.4
34,Southern Utah (Big Sky),29.13,61.46,47.4
35,North Texas (C-USA),25.61,54.14,47.3
36,Richmond (Atlantic 10),27.13,57.43,47.2
37,Davidson (Atlantic 10),26.05,55.18,47.2
38,Southern California (Pac-12),27.39,58.09,47.2
39,Oregon (Pac-12),27.82,59.00,47.2
40,Creighton (Big East),28.32,60.06,47.2
41,Florida (SEC),26.52,56.28,47.1
42,NC State (ACC),26.84,57.00,47.1
43,Iowa (Big Ten),29.77,63.26,47.1
44,Wofford (SoCon),26.92,57.25,47
45,Utah (Pac-12),26.24,55.92,46.9
46,South Dakota (Summit League),26.96,57.56,46.8
47,Georgia St. (Sun Belt),29.50,63.00,46.8
48,Eastern Wash. (Big Sky),27.79,59.38,46.8
49,Duke (ACC),28.83,61.63,46.8
50,Drexel (CAA),25.70,55.00,46.7
51,Colorado St. (Mountain West),25.54,54.86,46.5
52,VMI (SoCon),28.24,60.68,46.5
53,Bryant (NEC),29.00,62.36,46.5
54,Loyola Maryland (Patriot),27.12,58.35,46.5
55,Stanford (Pac-12),25.11,54.11,46.4
56,Detroit Mercy (Horizon),27.18,58.64,46.4
57,Pepperdine (WCC),27.56,59.52,46.3
58,Morehead St. (OVC),24.65,53.26,46.3
59,Fla. Atlantic (C-USA),28.35,61.26,46.3
60,Vermont (America East),25.53,55.20,46.3
61,Texas St. (Sun Belt),25.16,54.44,46.2
62,Saint Louis (Atlantic 10),27.90,60.43,46.2
63,UCLA (Pac-12),26.75,57.97,46.1
64,Jacksonville St. (OVC),26.78,58.07,46.1
65,Buffalo (MAC),30.64,66.48,46.1
66,Montana (Big Sky),24.89,54.07,46
67,Maryland (Big Ten),24.29,52.77,46
68,Lipscomb (ASUN),25.44,55.30,46
69,Siena (MAAC),24.18,52.59,46
70,Illinois St. (MVC),27.16,59.08,46
71,Notre Dame (ACC),26.12,56.88,45.9
72,Sacramento St. (Big Sky),26.55,57.85,45.9
73,LSU (SEC),28.83,62.86,45.9
74,Ohio St. (Big Ten),26.42,57.61,45.9
75,Oklahoma St. (Big 12),27.20,59.33,45.8
76,Xavier (Big East),28.05,61.19,45.8
77,Georgia (SEC),28.23,61.65,45.8
78,LMU (CA) (WCC),23.86,52.14,45.8
79,Radford (Big South),23.85,52.15,45.7
80,Winthrop (Big South),27.80,60.84,45.7
81,SMU (AAC),26.82,58.76,45.6
82,Army West Point (Patriot),26.68,58.45,45.6
83,Coastal Carolina (Sun Belt),28.15,61.69,45.6
84,Colorado (Pac-12),25.88,56.75,45.6
