Rank,Team,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
1,Colgate (Patriot),23.00,6.06,26.4
2,Memphis (AAC),21.89,6.07,27.7
3,Pepperdine (WCC),22.52,6.33,28.1
4,Alabama A&M (SWAC),19.80,5.60,28.3
5,Duquesne (Atlantic 10),21.94,6.22,28.4
6,Florida A&M (SWAC),21.05,6.00,28.5
7,Buffalo (MAC),21.04,6.04,28.7
8,Bryant (NEC),25.91,7.45,28.8
9,Houston (AAC),19.53,5.66,29
10,Hartford (America East),23.42,6.79,29
11,American (Patriot),17.20,5.00,29.1
12,Alabama (SEC),21.33,6.21,29.1
13,Sam Houston (Southland),21.57,6.29,29.1
14,Grand Canyon (WAC),23.75,7.00,29.5
15,Wichita St. (AAC),23.00,6.82,29.6
16,Northern Colo. (Big Sky),13.32,3.95,29.7
17,Providence (Big East),19.92,5.92,29.7
18,Toledo (MAC),25.53,7.60,29.8
19,UTRGV (WAC),18.47,5.53,29.9
20,LSU (SEC),27.97,8.38,30
21,Oregon St. (Pac-12),21.18,6.36,30
22,UIC (Horizon),16.18,4.86,30.1
23,Quinnipiac (MAAC),21.32,6.41,30.1
24,Iona (MAAC),20.06,6.06,30.2
25,Jackson St. (SWAC),15.39,4.67,30.3
26,Louisiana Tech (C-USA),22.69,6.91,30.4
27,Louisville (ACC),23.15,7.05,30.5
28,IUPUI (Horizon),20.06,6.11,30.5
29,UIW (Southland),18.77,5.73,30.5
30,VCU (Atlantic 10),19.65,6.00,30.5
31,Wright St. (Horizon),21.00,6.42,30.6
32,Mount St. Mary's (NEC),18.35,5.61,30.6
33,Morgan St. (MEAC),23.64,7.23,30.6
34,Cleveland St. (Horizon),24.04,7.37,30.7
35,St. Bonaventure (Atlantic 10),23.90,7.33,30.7
36,Florida (SEC),21.12,6.48,30.7
37,Coppin St. (MEAC),27.91,8.59,30.8
38,Campbell (Big South),20.56,6.33,30.8
38,Liberty (ASUN),19.14,5.90,30.8
40,DePaul (Big East),24.05,7.42,30.9
41,Marist (MAAC),23.76,7.33,30.9
