Rank,Team,OPP FGPG,OPP FGAPG,OPP FG%
1,Houston (AAC),19.41,51.31,37.8
2,Grand Canyon (WAC),21.71,56.71,38.3
3,Saint Peter's (MAAC),20.44,52.92,38.6
4,UC Irvine (Big West),22.33,57.74,38.7
5,Memphis (AAC),21.64,55.61,38.9
6,St. Bonaventure (Atlantic 10),21.62,55.52,38.9
7,Coastal Carolina (Sun Belt),23.81,61.08,39
8,Quinnipiac (MAAC),24.14,61.91,39
9,Southern California (Pac-12),23.64,60.61,39
10,Utah St. (Mountain West),22.07,56.55,39
11,Marist (MAAC),21.90,55.90,39.2
12,San Diego St. (Mountain West),20.46,52.18,39.2
13,Michigan (Big Ten),23.82,60.64,39.3
14,Alabama A&M (SWAC),23.33,59.40,39.3
15,Jackson St. (SWAC),21.39,54.33,39.4
16,UMBC (America East),23.15,58.35,39.7
17,Florida St. (ACC),23.28,58.60,39.7
18,Grambling (SWAC),23.25,58.29,39.9
19,Texas Southern (SWAC),24.08,60.12,40.1
20,Wright St. (Horizon),25.63,63.92,40.1
21,Tennessee (SEC),22.19,55.26,40.1
22,Wichita St. (AAC),24.23,60.27,40.2
23,UC Riverside (Big West),23.00,57.18,40.2
24,Iona (MAAC),21.56,53.50,40.3
25,Louisiana Tech (C-USA),23.59,58.53,40.3
26,Norfolk St. (MEAC),22.92,56.76,40.4
27,Abilene Christian (Southland),20.72,51.31,40.4
28,Mississippi St. (SEC),23.97,59.33,40.4
29,Idaho St. (Big Sky),21.83,54.04,40.4
30,UAB (C-USA),21.83,54.00,40.4
31,Mount St. Mary's (NEC),22.87,56.52,40.5
32,SMU (AAC),23.24,57.41,40.5
33,VCU (Atlantic 10),22.69,56.04,40.5
34,UTRGV (WAC),22.95,56.47,40.6
35,Vermont (America East),22.00,54.00,40.7
36,Stony Brook (America East),23.17,56.87,40.7
37,Morehead St. (OVC),23.74,58.26,40.8
38,Alabama (SEC),25.36,62.21,40.8
39,Temple (AAC),24.06,59.00,40.8
40,Texas (Big 12),23.85,58.44,40.8
41,Creighton (Big East),24.87,60.94,40.8
42,Siena (MAAC),23.53,57.59,40.9
43,Tulsa (AAC),22.61,55.30,40.9
44,Nevada (Mountain West),22.77,55.69,40.9
45,Liberty (ASUN),21.86,53.45,40.9
46,Missouri St. (MVC),24.21,59.08,41
47,Syracuse (ACC),25.25,61.57,41
48,Maryland (Big Ten),23.52,57.32,41
49,South Alabama (Sun Belt),25.00,60.93,41
50,Colgate (Patriot),26.06,63.50,41
51,Jacksonville St. (OVC),24.96,60.81,41
52,Oklahoma St. (Big 12),25.60,62.30,41.1
53,BYU (WCC),24.78,60.30,41.1
54,Illinois (Big Ten),24.84,60.42,41.1
55,Bryant (NEC),27.68,67.27,41.1
56,Texas Tech (Big 12),21.76,52.86,41.2
57,James Madison (CAA),24.00,58.25,41.2
58,North Texas (C-USA),22.11,53.64,41.2
59,Kentucky (SEC),25.12,60.84,41.3
60,Loyola Chicago (MVC),21.19,51.32,41.3
61,Xavier (Big East),25.76,62.38,41.3
62,Georgia St. (Sun Belt),25.18,60.95,41.3
63,UConn (Big East),22.35,54.04,41.4
64,Fla. Atlantic (C-USA),23.17,56.00,41.4
65,Marquette (Big East),24.67,59.59,41.4
66,Kansas (Big 12),24.17,58.30,41.5
67,Buffalo (MAC),26.52,63.96,41.5
68,Washington St. (Pac-12),24.04,57.96,41.5
69,Santa Clara (WCC),25.15,60.60,41.5
70,Arkansas (SEC),25.41,61.19,41.5
71,Rutgers (Big Ten),23.93,57.57,41.6
72,Stanford (Pac-12),24.78,59.59,41.6
73,Virginia (ACC),22.00,52.88,41.6
74,Rhode Island (Atlantic 10),24.88,59.80,41.6
75,Purdue (Big Ten),23.46,56.39,41.6
76,Coppin St. (MEAC),28.50,68.45,41.6
77,Bradley (MVC),23.36,56.07,41.7
78,UNC Greensboro (SoCon),22.97,55.10,41.7
79,Gardner-Webb (Big South),23.00,55.15,41.7
80,DePaul (Big East),24.74,59.32,41.7
81,Eastern Wash. (Big Sky),25.71,61.63,41.7
82,Duquesne (Atlantic 10),23.44,56.17,41.7
83,Hartford (America East),23.92,57.29,41.7
84,App State (Sun Belt),23.76,56.83,41.8
85,Clemson (ACC),22.04,52.71,41.8
86,ETSU (SoCon),22.92,54.80,41.8
87,Radford (Big South),23.26,55.59,41.8
88,Old Dominion (C-USA),23.78,56.74,41.9
89,LSU (SEC),26.66,63.59,41.9
90,Saint Louis (Atlantic 10),22.24,53.05,41.9
91,Seattle U (WAC),23.09,55.04,41.9
92,Murray St. (OVC),23.85,56.85,41.9
93,Iowa (Big Ten),27.10,64.58,42
94,Ole Miss (SEC),22.25,53.00,42
95,Tulane (AAC),23.39,55.70,42
96,Monmouth (MAAC),25.20,60.00,42
97,Southern U. (SWAC),24.05,57.26,42
98,Prairie View (SWAC),21.95,52.24,42
99,UNLV (Mountain West),22.89,54.44,42
100,South Dakota (Summit League),24.64,58.60,42
101,Colorado (Pac-12),22.94,54.53,42.1
102,UC Santa Barbara (Big West),23.07,54.81,42.1
103,FGCU (ASUN),25.61,60.83,42.1
104,Ohio St. (Big Ten),24.74,58.74,42.1
105,Nebraska (Big Ten),26.33,62.48,42.1
106,Texas St. (Sun Belt),21.48,50.96,42.2
107,Gonzaga (WCC),25.91,61.44,42.2
108,Delaware (CAA),24.07,57.07,42.2
109,Colorado St. (Mountain West),24.57,58.25,42.2
110,Sam Houston (Southland),24.29,57.57,42.2
111,Georgetown (Big East),26.12,61.88,42.2
112,Drake (MVC),23.39,55.42,42.2
113,Morgan St. (MEAC),24.23,57.41,42.2
114,Wisconsin (Big Ten),23.52,55.71,42.2
115,Western Ky. (C-USA),24.90,58.97,42.2
116,Oklahoma (Big 12),25.44,60.26,42.2
117,Kent St. (MAC),25.43,60.22,42.2
118,Louisville (ACC),24.10,57.05,42.2
119,Oregon St. (Pac-12),23.12,54.73,42.2
120,Florida (SEC),24.64,58.32,42.2
121,UTSA (C-USA),25.00,59.12,42.3
122,Southern Miss. (C-USA),23.60,55.80,42.3
123,UT Arlington (Sun Belt),25.35,59.92,42.3
124,Ga. Southern (Sun Belt),23.92,56.50,42.3
125,East Carolina (AAC),23.00,54.32,42.3
126,Louisiana (Sun Belt),26.31,62.08,42.4
127,North Carolina (ACC),25.34,59.79,42.4
128,Dayton (Atlantic 10),25.29,59.67,42.4
129,Virginia Tech (ACC),23.32,55.00,42.4
130,Weber St. (Big Sky),24.74,58.30,42.4
131,Manhattan (MAAC),22.15,52.20,42.4
132,Niagara (MAAC),22.65,53.35,42.5
133,Arkansas St. (Sun Belt),25.33,59.63,42.5
134,Cleveland St. (Horizon),24.11,56.74,42.5
135,Southern Utah (Big Sky),25.29,59.50,42.5
136,Indiana (Big Ten),24.26,57.00,42.6
137,Toledo (MAC),27.03,63.50,42.6
138,Maine (America East),23.11,54.22,42.6
139,Belmont (OVC),25.77,60.43,42.6
140,UMass Lowell (America East),24.17,56.70,42.6
141,Utah Valley (WAC),25.68,60.23,42.6
142,Michigan St. (Big Ten),24.75,58.04,42.6
143,CSU Bakersfield (Big West),21.38,50.12,42.7
144,VMI (SoCon),28.00,65.60,42.7
145,Davidson (Atlantic 10),22.82,53.45,42.7
146,Florida A&M (SWAC),24.80,58.05,42.7
147,Elon (CAA),22.16,51.84,42.7
148,Troy (Sun Belt),24.86,58.11,42.8
