Rank,Team,RPG,OPP RPG,REB MAR
1,North Carolina (ACC),42.9,32.5,10.4
2,Utah St. (Mountain West),40.7,30.4,10.3
3,Coastal Carolina (Sun Belt),43.5,33.6,9.9
4,Illinois (Big Ten),40,30.4,9.6
5,Grand Canyon (WAC),39.9,30.4,9.5
6,Wright St. (Horizon),42.3,33,9.3
7,Houston (AAC),40.5,31.5,9
8,Saint Louis (Atlantic 10),38.6,29.7,8.9
9,Winthrop (Big South),40.1,31.4,8.7
10,CSU Bakersfield (Big West),36.9,28.7,8.2
11,Buffalo (MAC),43.8,35.6,8.2
12,Southern Utah (Big Sky),39.4,31.5,7.9
13,Fla. Atlantic (C-USA),40.4,32.6,7.8
14,LMU (CA) (WCC),35.1,27.3,7.8
15,Radford (Big South),37,29.3,7.7
16,UC Irvine (Big West),39.6,31.9,7.7
17,Memphis (AAC),40,32.7,7.3
18,Arizona (Pac-12),38.3,31.2,7.1
19,Mississippi St. (SEC),39,32,7
20,SFA (Southland),35.8,28.9,6.9
21,Gonzaga (WCC),37.2,30.3,6.8
22,BYU (WCC),39.2,32.5,6.7
23,North Dakota St. (Summit League),37,30.3,6.6
24,Morehead St. (OVC),37.3,30.8,6.5
25,Michigan (Big Ten),37.5,31,6.5
26,Western Ky. (C-USA),37.7,31.3,6.4
27,Utah Valley (WAC),38.8,32.4,6.4
28,Idaho St. (Big Sky),36.1,29.9,6.2
29,Purdue (Big Ten),37.6,31.4,6.2
30,Southern California (Pac-12),38.8,32.6,6.2
31,New Mexico St. (WAC),36.1,30.4,5.7
32,UC Santa Barbara (Big West),35.2,29.7,5.5
33,Kent St. (MAC),39.1,33.7,5.4
34,Texas Southern (SWAC),40.9,35.7,5.2
35,Pittsburgh (ACC),38.3,33.1,5.2
36,Mount St. Mary's (NEC),37.3,32.2,5.1
37,Louisiana (Sun Belt),39.5,34.4,5.1
38,UConn (Big East),38.2,33.1,5.1
39,Loyola Chicago (MVC),32.5,27.5,5
40,Georgetown (Big East),39.8,34.8,5
41,McNeese (Southland),37.3,32.4,5
41,Missouri St. (MVC),37,32,5
43,Drake (MVC),36.1,31.2,4.9
44,Jacksonville St. (OVC),38.8,33.9,4.9
45,Colgate (Patriot),39.9,35.1,4.8
46,Louisville (ACC),38.2,33.5,4.8
47,Iona (MAAC),36.9,32.2,4.7
48,South Dakota St. (Summit League),35.7,31,4.7
49,Ole Miss (SEC),36.6,31.9,4.6
50,Davidson (Atlantic 10),34.5,30,4.5
51,Baylor (Big 12),36,31.7,4.3
52,Colorado (Pac-12),34.8,30.6,4.2
53,Murray St. (OVC),36.1,32,4.1
54,Texas (Big 12),38.4,34.3,4.1
55,Drexel (CAA),33.9,29.8,4
56,South Fla. (AAC),37.8,33.8,4
57,Arkansas (SEC),39.7,35.8,4
58,Loyola Maryland (Patriot),37.6,33.7,3.9
59,San Diego St. (Mountain West),35.8,32,3.9
60,Vermont (America East),34.9,31.1,3.8
61,Hawaii (Big West),35.8,32.1,3.7
62,Morgan St. (MEAC),39.7,36,3.7
63,Florida St. (ACC),36.7,33,3.7
64,UCLA (Pac-12),35.2,31.5,3.7
65,Liberty (ASUN),33.5,29.8,3.7
66,Samford (SoCon),39.7,36.1,3.6
67,UNLV (Mountain West),36,32.4,3.6
68,Arkansas St. (Sun Belt),37.2,33.6,3.6
69,UC Riverside (Big West),36.3,32.9,3.5
70,Rhode Island (Atlantic 10),38.5,35,3.4
71,Wagner (NEC),35.6,32.2,3.4
72,Navy (Patriot),35.1,31.7,3.3
73,Fresno St. (Mountain West),35.5,32.2,3.3
74,Washington St. (Pac-12),38.1,34.9,3.2
75,Bradley (MVC),36.9,33.7,3.2
76,St. Bonaventure (Atlantic 10),36.9,33.7,3.2
77,Portland St. (Big Sky),37.8,34.6,3.2
78,Michigan St. (Big Ten),37.4,34.2,3.2
79,Louisiana Tech (C-USA),38.2,35.1,3.2
80,Texas St. (Sun Belt),32.9,29.8,3.1
81,New Mexico (Mountain West),38.1,35,3.1
82,Auburn (SEC),39.4,36.3,3.1
83,Ohio St. (Big Ten),36.6,33.6,3
83,Little Rock (Sun Belt),34.5,31.5,3
85,ETSU (SoCon),35.9,32.9,3
86,Saint Mary's (CA) (WCC),34.5,31.5,3
87,Boise St. (Mountain West),35.5,32.6,2.9
88,Kansas (Big 12),37.5,34.6,2.9
89,Northern Colo. (Big Sky),34.5,31.7,2.9
90,Mercer (SoCon),36.3,33.5,2.8
91,UNC Greensboro (SoCon),39.1,36.4,2.8
92,Iowa (Big Ten),39.7,37,2.7
93,Austin Peay (OVC),34.5,31.7,2.7
94,George Mason (Atlantic 10),37.9,35.2,2.7
95,Alabama (SEC),40.7,38,2.7
96,Ga. Southern (Sun Belt),37.1,34.4,2.7
97,Southern U. (SWAC),36.3,33.6,2.7
98,West Virginia (Big 12),37.9,35.3,2.6
99,Stony Brook (America East),38,35.5,2.6
100,Akron (MAC),38.9,36.4,2.5
101,UMBC (America East),36.5,34,2.5
