Rank,Team,PPG,OPP PPG,SCR MAR
1,Gonzaga (WCC),91,69.7,21.3
2,Houston (AAC),76.1,58.2,17.8
3,Baylor (Big 12),82.9,65.5,17.4
4,Colgate (Patriot),85.2,69.6,15.6
5,Abilene Christian (Southland),75.7,60.4,15.3
6,Loyola Chicago (MVC),71,56.1,15
7,Southern Utah (Big Sky),84.2,69.5,14.7
8,Wright St. (Horizon),82,67.4,14.5
9,Liberty (ASUN),74.4,60,14.4
10,Grand Canyon (WAC),75.5,62.1,13.4
11,UC Santa Barbara (Big West),76,62.8,13.1
12,Weber St. (Big Sky),81.8,69.3,12.5
13,San Diego St. (Mountain West),73.6,61.2,12.5
14,UAB (C-USA),72.6,60.3,12.3
15,Belmont (OVC),81.3,69.1,12.2
16,Illinois (Big Ten),80.5,68.6,11.9
17,Winthrop (Big South),78.9,67,11.8
18,Drake (MVC),75.9,64.5,11.5
19,Coastal Carolina (Sun Belt),79.5,68.2,11.3
20,Fla. Atlantic (C-USA),78.1,66.8,11.3
21,Iowa (Big Ten),83.7,72.7,11
22,Furman (SoCon),79.6,68.9,10.7
23,Michigan (Big Ten),75.8,65.1,10.7
24,Arkansas (SEC),81.4,70.8,10.6
25,Utah St. (Mountain West),72.6,62.3,10.2
26,Southern California (Pac-12),74.9,65.1,9.8
27,Memphis (AAC),72.4,62.7,9.7
28,SFA (Southland),80.3,70.7,9.6
29,Vermont (America East),73,63.4,9.6
30,Alabama (SEC),79.7,70.1,9.6
31,Saint Louis (Atlantic 10),75,65.4,9.6
32,Murray St. (OVC),76.4,66.9,9.5
33,BYU (WCC),78.1,68.6,9.5
34,Colorado (Pac-12),73.1,63.8,9.3
35,Texas Tech (Big 12),72.5,63.2,9.3
36,Sam Houston (Southland),79.6,70.3,9.3
37,Boise St. (Mountain West),75.8,66.7,9.1
38,St. Bonaventure (Atlantic 10),70,61.1,9
39,UC Irvine (Big West),72.2,63.4,8.8
40,McNeese (Southland),80.3,71.8,8.5
41,Toledo (MAC),81.1,72.6,8.5
42,Buffalo (MAC),81.4,72.9,8.4
43,Tennessee (SEC),71.9,63.5,8.4
44,Villanova (Big East),74.8,66.5,8.3
45,Bryant (NEC),83.8,75.6,8.1
46,Eastern Ky. (OVC),81.8,73.7,8.1
47,Florida St. (ACC),77.2,69.2,8
48,Eastern Wash. (Big Sky),78.3,70.4,7.9
49,Creighton (Big East),76,68.2,7.7
50,Virginia (ACC),68.2,60.5,7.7
51,Louisiana Tech (C-USA),73.1,65.4,7.7
52,James Madison (CAA),78.1,70.5,7.7
53,Georgia St. (Sun Belt),80.3,72.7,7.6
53,Davidson (Atlantic 10),71.8,64.1,7.6
55,Kansas City (Summit League),70.1,62.6,7.5
56,North Texas (C-USA),69.8,62.3,7.5
57,Marshall (C-USA),79.9,72.5,7.4
58,Colorado St. (Mountain West),74,66.8,7.2
59,UConn (Big East),71.7,64.6,7.2
60,Prairie View (SWAC),71.3,64.2,7
61,Missouri St. (MVC),73.4,66.4,7
62,South Dakota St. (Summit League),80.4,73.5,7
63,New Mexico St. (WAC),71.1,64.2,7
64,Arizona (Pac-12),75.4,68.6,6.8
65,Morgan St. (MEAC),79.8,73,6.8
66,Ohio (MAC),79.2,72.6,6.6
67,LSU (SEC),81.8,75.2,6.6
68,UC Riverside (Big West),70.2,63.6,6.5
69,Wofford (SoCon),74.3,67.8,6.5
70,VCU (Atlantic 10),71.7,65.2,6.5
71,SMU (AAC),74.6,68.1,6.5
72,Oregon (Pac-12),74.9,68.4,6.5
72,Idaho St. (Big Sky),68.2,61.7,6.5
74,App State (Sun Belt),70.3,64.1,6.2
75,Texas (Big 12),74.4,68.2,6.1
76,Kansas (Big 12),73,66.9,6.1
77,Virginia Tech (ACC),72,66,6.1
78,Ohio St. (Big Ten),77.2,71.1,6.1
79,Akron (MAC),78.2,72.2,6
80,Jacksonville St. (OVC),74.3,68.6,5.7
81,Richmond (Atlantic 10),74.7,69,5.7
82,UNC Greensboro (SoCon),73,67.3,5.6
83,CSU Bakersfield (Big West),69.7,64,5.6
84,Kent St. (MAC),76.7,71.1,5.6
85,UTSA (C-USA),78.8,73.3,5.5
86,Oral Roberts (Summit League),81.1,75.6,5.5
87,West Virginia (Big 12),77.3,72,5.3
88,Wisconsin (Big Ten),69.9,64.6,5.3
89,North Carolina (ACC),75.2,69.9,5.3
90,Iona (MAAC),71.3,66.1,5.2
91,Ole Miss (SEC),68.8,63.6,5.2
92,Nicholls (Southland),78.4,73.2,5.2
93,UCLA (Pac-12),73.4,68.4,5
94,Mercer (SoCon),76.7,71.8,4.9
95,Georgia Tech (ACC),74.9,70,4.9
96,Morehead St. (OVC),68.8,64.1,4.7
97,Duke (ACC),76,71.3,4.7
98,Western Ky. (C-USA),72.7,68,4.7
99,UTRGV (WAC),72.4,67.7,4.7
100,Wichita St. (AAC),71.5,66.8,4.7
101,Texas St. (Sun Belt),66.4,61.7,4.7
102,Syracuse (ACC),74.8,70.1,4.7
103,Oklahoma (Big 12),74.5,69.9,4.7
104,UMBC (America East),69.5,64.9,4.7
105,Xavier (Big East),74.8,70.2,4.6
106,Siena (MAAC),67.6,63,4.6
107,Navy (Patriot),71.5,67,4.5
108,Texas Southern (SWAC),73.9,69.5,4.4
109,Purdue (Big Ten),71,66.6,4.4
110,Austin Peay (OVC),74.3,70,4.3
111,Seattle U (WAC),72.9,68.6,4.3
112,VMI (SoCon),80,75.9,4.2
113,Nevada (Mountain West),73.7,69.7,4
114,Florida (SEC),74.2,70.3,3.9
114,Norfolk St. (MEAC),73.6,69.7,3.9
116,Oklahoma St. (Big 12),76.6,72.7,3.9
117,Ga. Southern (Sun Belt),71.5,67.8,3.8
