Rank,Team,Games,Wins,Losses,Win Pct
1,Gonzaga (WCC),32,31,1,96.9
2,Baylor (Big 12),30,28,2,93.3
3,Winthrop (Big South),25,23,2,92
4,Houston (AAC),32,28,4,87.5
4,Colgate (Patriot),16,14,2,87.5
6,Belmont (OVC),30,26,4,86.7
7,Drake (MVC),31,26,5,83.9
7,Loyola Chicago (MVC),31,26,5,83.9
9,Southern Utah (Big Sky),24,20,4,83.3
9,Navy (Patriot),18,15,3,83.3
11,Abilene Christian (Southland),29,24,5,82.8
12,Michigan (Big Ten),28,23,5,82.1
12,San Diego St. (Mountain West),28,23,5,82.1
14,UC Santa Barbara (Big West),27,22,5,81.5
15,Liberty (ASUN),29,23,6,79.3
16,Alabama (SEC),33,26,7,78.8
17,Arkansas (SEC),32,25,7,78.1
18,Illinois (Big Ten),31,24,7,77.4
19,Prairie View (SWAC),21,16,5,76.2
19,SFA (Southland),21,16,5,76.2
19,St. Bonaventure (Atlantic 10),21,16,5,76.2
22,Eastern Ky. (OVC),29,22,7,75.9
22,UAB (C-USA),29,22,7,75.9
24,Southern California (Pac-12),33,25,8,75.8
25,Louisiana Tech (C-USA),32,24,8,75
25,Oregon (Pac-12),28,21,7,75
25,Wright St. (Horizon),24,18,6,75
28,Morehead St. (OVC),31,23,8,74.2
29,BYU (WCC),27,20,7,74.1
30,Weber St. (Big Sky),23,17,6,73.9
31,VCU (Atlantic 10),26,19,7,73.1
32,Georgia St. (Sun Belt),22,16,6,72.7
32,Wichita St. (AAC),22,16,6,72.7
34,Western Ky. (C-USA),29,21,8,72.4
35,Florida St. (ACC),25,18,7,72
35,Nicholls (Southland),25,18,7,72
35,Texas St. (Sun Belt),25,18,7,72
35,Villanova (Big East),25,18,7,72
35,Virginia (ACC),25,18,7,72
40,Colorado (Pac-12),32,23,9,71.9
41,Colorado St. (Mountain West),28,20,8,71.4
41,Memphis (AAC),28,20,8,71.4
43,Creighton (Big East),31,22,9,71
43,Iowa (Big Ten),31,22,9,71
45,Grand Canyon (WAC),24,17,7,70.8
45,Missouri St. (MVC),24,17,7,70.8
47,Siena (MAAC),17,12,5,70.6
48,Cleveland St. (Horizon),27,19,8,70.4
48,Texas (Big 12),27,19,8,70.4
50,Kansas (Big 12),30,21,9,70
50,Oklahoma St. (Big 12),30,21,9,70
50,Toledo (MAC),30,21,9,70
50,UNC Greensboro (SoCon),30,21,9,70
50,UMBC (America East),20,14,6,70
55,South Dakota St. (Summit League),23,16,7,69.6
56,Chattanooga (SoCon),26,18,8,69.2
56,Coastal Carolina (Sun Belt),26,18,8,69.2
58,Utah St. (Mountain West),29,20,9,69
59,UCLA (Pac-12),32,22,10,68.8
60,Bryant (NEC),22,15,7,68.2
60,Marshall (C-USA),22,15,7,68.2
60,Virginia Tech (ACC),22,15,7,68.2
63,Norfolk St. (MEAC),25,17,8,68
63,Ohio (MAC),25,17,8,68
65,Boise St. (Mountain West),28,19,9,67.9
65,Sam Houston (Southland),28,19,9,67.9
67,Ohio St. (Big Ten),31,21,10,67.7
68,Jacksonville St. (OVC),27,18,9,66.7
68,Tennessee (SEC),27,18,9,66.7
68,UC Irvine (Big West),27,18,9,66.7
68,Clemson (ACC),24,16,8,66.7
68,Eastern Wash. (Big Sky),24,16,8,66.7
