Rank,Team,W,L,Pct
1,Murray St. (OVC),31,3,91.2
2,Arizona (Pac-12),33,4,89.2
3,Gonzaga (WCC),28,4,87.5
4,South Dakota St. (Summit League),30,5,85.7
5,Kansas (Big 12),34,6,85
6,Houston (AAC),32,6,84.2
7,Auburn (SEC),28,6,82.4
7,Vermont (America East),28,6,82.4
9,Duke (ACC),32,7,82.1
10,Providence (Big East),27,6,81.8
11,Colorado St. (Mountain West),25,6,80.6
12,Baylor (Big 12),27,7,79.4
12,Davidson (Atlantic 10),27,7,79.4
12,New Mexico St. (WAC),27,7,79.4
15,Villanova (Big East),30,8,78.9
16,Longwood (Big South),26,7,78.8
17,Purdue (Big Ten),29,8,78.4
18,North Texas (C-USA),25,7,78.1
19,Wagner (NEC),21,6,77.8
20,Norfolk St. (MEAC),24,7,77.4
21,Boise St. (Mountain West),27,8,77.1
21,Chattanooga (SoCon),27,8,77.1
21,Montana St. (Big Sky),27,8,77.1
21,Tennessee (SEC),27,8,77.1
21,UAB (C-USA),27,8,77.1
21,UCLA (Pac-12),27,8,77.1
27,Princeton (Ivy League),23,7,76.7
28,Kentucky (SEC),26,8,76.5
28,Saint Mary's (CA) (WCC),26,8,76.5
28,Southern California (Pac-12),26,8,76.5
28,Toledo (MAC),26,8,76.5
32,Belmont (OVC),25,8,75.8
32,Iona (MAAC),25,8,75.8
32,Loyola Chicago (MVC),25,8,75.8
32,Wisconsin (Big Ten),25,8,75.8
36,Arkansas (SEC),28,9,75.7
37,UNCW (CAA),27,9,75
38,North Carolina (ACC),29,10,74.4
39,Grand Canyon (WAC),23,8,74.2
40,Towson (CAA),25,9,73.5
40,Wyoming (Mountain West),25,9,73.5
42,Texas Tech (Big 12),27,10,73
43,SMU (AAC),24,9,72.7
44,Texas St. (Sun Belt),21,8,72.4
45,Iowa (Big Ten),26,10,72.2
46,San Diego St. (Mountain West),23,9,71.9
46,Seattle U (WAC),23,9,71.9
46,Winthrop (Big South),23,9,71.9
49,Ohio (MAC),25,10,71.4
49,Wake Forest (ACC),25,10,71.4
51,Akron (MAC),24,10,70.6
51,Louisiana Tech (C-USA),24,10,70.6
51,San Francisco (WCC),24,10,70.6
54,Miami (FL) (ACC),26,11,70.3
54,Middle Tenn. (C-USA),26,11,70.3
56,Illinois (Big Ten),23,10,69.7
56,North Dakota St. (Summit League),23,10,69.7
