Team,Games,Wins,Losses,Win Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGMPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,AST,ASTPG,TO,TOPG,AST/TO Ratio,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
Gonzaga (WCC),32,31,1,96.9,91.0,69.7,21.3,37.2,30.3,6.8,33.72,61.41,54.9,16.03,21.94,73.1,7.5,20.38,36.8,25.91,61.44,42.2,601,18.78,385,12.03,1.56,20.72,6.78,32.7
Baylor (Big 12),30,28,2,93.3,82.9,65.5,17.4,36.0,31.7,4.3,30.57,62.87,48.6,11.8,16.67,70.8,9.97,24.13,41.3,23.7,54.73,43.3,507,16.9,345,11.5,1.47,18.77,6.17,32.9
Winthrop (Big South),25,23,2,92.0,78.9,67.0,11.8,40.1,31.4,8.7,27.8,60.84,45.7,14.88,21.64,68.8,8.4,23.88,35.2,23.88,55.36,43.1,374,14.96,350,14.0,1.07,20.4,6.6,32.4
Houston (AAC),32,28,4,87.5,76.1,58.2,17.8,40.5,31.5,9.0,26.69,61.28,43.5,13.59,18.59,73.1,9.09,25.72,35.4,19.41,51.31,37.8,446,13.94,341,10.66,1.31,19.53,5.66,29.0
Colgate (Patriot),16,14,2,87.5,85.2,69.6,15.6,39.9,35.1,4.8,30.94,62.81,49.3,14.06,19.44,72.3,9.25,22.94,40.3,26.06,63.5,41.0,282,17.63,173,10.81,1.63,23.0,6.06,26.4
Belmont (OVC),30,26,4,86.7,81.3,69.1,12.2,35.7,35.2,0.6,29.8,60.97,48.9,12.67,17.17,73.8,9.03,26.23,34.4,25.77,60.43,42.6,547,18.23,361,12.03,1.52,22.0,7.43,33.8
Drake (MVC),31,26,5,83.9,75.9,64.5,11.5,36.1,31.2,4.9,29.29,60.58,48.3,10.32,14.48,71.3,7.03,19.16,36.7,23.39,55.42,42.2,423,13.65,320,10.32,1.32,19.94,6.23,31.2
Loyola Chicago (MVC),31,26,5,83.9,71.0,56.1,15.0,32.5,27.5,5.0,25.94,52.06,49.8,12.03,16.74,71.9,7.13,19.55,36.5,21.19,51.32,41.3,490,15.81,364,11.74,1.35,16.84,5.48,32.6
Southern Utah (Big Sky),24,20,4,83.3,84.2,69.5,14.7,39.4,31.5,7.9,29.13,61.46,47.4,17.17,22.96,74.8,8.79,25.75,34.1,25.29,59.5,42.5,338,14.08,290,12.08,1.17,23.13,7.58,32.8
Navy (Patriot),18,15,3,83.3,71.5,67.0,4.5,35.1,31.7,3.3,25.89,57.89,44.7,13.56,19.11,70.9,6.17,18.89,32.6,24.22,52.78,45.9,222,12.33,223,12.39,1.0,20.5,6.89,33.6
Abilene Christian (Southland),29,24,5,82.8,75.7,60.4,15.3,36.1,34.0,2.1,27.1,60.41,44.9,13.9,20.48,67.8,7.62,22.17,34.4,20.72,51.31,40.4,513,17.69,394,13.59,1.3,17.93,5.55,31.0
