Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2012,Kentucky (SEC),True,1.0,1.0,At-large,1.0,95.0,16.8,6.8,48.8,72.3,37.8,37.4,31.8,1.17
2012,Murray St. (OVC),False,32.0,6.0,Automatic,23.0,93.9,12.5,1.6,46.8,72.4,39.6,41.7,29.2,0.91
2012,Syracuse (AAC),False,8.0,1.0,At-large,2.0,91.9,13.1,-1.7,46.7,69.8,34.9,38.5,31.5,1.45
2012,Missouri (Big 12),True,64.0,2.0,Automatic,8.0,85.7,14.1,0.3,50.4,76.6,39.8,44.4,36.8,1.58
2012,North Carolina (ACC),True,8.0,1.0,At-large,3.0,84.2,14.3,10.5,45.9,68.2,33.4,39.4,31.9,1.45
2012,Harvard (Ivy League),False,64.0,12.0,Automatic,46.0,83.9,10.0,4.1,46.6,74.7,35.7,41.0,33.9,1.06
2012,Creighton (MVC),False,32.0,8.0,Automatic,29.0,82.9,9.5,5.5,50.4,72.6,42.4,44.1,36.1,1.46
2012,Kansas (Big 12),True,2.0,2.0,At-large,5.0,82.1,11.7,5.5,47.2,69.2,34.5,38.0,34.0,1.16
2012,Wichita St. (MVC),False,64.0,5.0,At-large,19.0,81.8,14.7,6.5,48.2,74.8,37.1,39.3,30.7,1.2
2012,Saint Mary's (CA) (WCC),False,64.0,7.0,Automatic,26.0,81.8,12.1,7.2,47.3,72.9,34.4,42.8,35.9,1.36
2012,Wagner (NEC),False,DNP,DNP,DNP,DNP,80.6,9.1,0.6,44.1,74.3,36.0,40.8,30.9,0.97
2012,VCU (CAA),False,32.0,12.0,Automatic,49.0,80.6,8.2,-1.8,41.0,68.5,33.4,42.4,32.1,1.05
2012,Drexel (CAA),False,DNP,DNP,DNP,DNP,80.6,9.2,6.1,44.0,74.1,37.8,39.2,29.0,1.1
